time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,school_count,pupil_count,attainment8_sum,attainment8_average,engmath_entering_total,engmath_entering_percent,engmath_95_total,engmath_95_percent,engmath_94_total,engmath_94_percent,ebacc_entering_total,ebacc_entering_percent,ebacc_95_total,ebacc_95_percent,ebacc_94_total,ebacc_94_percent,ebacc_aps_sum,ebacc_aps_average,progress8_pupil_count,progress8_sum,progress8_average,progress8_lower_95_ci,progress8_upper_95_ci
202425,Academic year,National,E92000001,England,Revised,All state-funded,SEN primary need,Vision impairment,967,1273,50598.5,39.7,1170,91.9,444,34.9,658,51.7,354,27.8,154,12.1,210,16.5,4387.39,3.45,z,z,z,z,z
202425,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage status,Disadvantaged,4090,176226,6154651.78,34.9,161358,91.6,45472,25.8,77243,43.8,51045,29,15210,8.6,24079,13.7,532241.49,3.02,z,z,z,z,z
202425,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage status,Not known to be disadvantaged,4083,449422,22656429.52,50.4,438820,97.6,238795,53.1,328406,73.1,202425,45,101706,22.6,137190,30.5,2023641.95,4.5,z,z,z,z,z
202425,Academic year,National,E92000001,England,Revised,All state-funded,First language,Known or believed to be English,4089,499609,22762111.36,45.6,478733,95.8,224347,44.9,322832,64.6,188567,37.7,87705,17.6,121173,24.3,2002225.1,4.01,z,z,z,z,z
202425,Academic year,National,E92000001,England,Revised,All state-funded,First language,Known or believed to be other than English,3716,121389,5891671.69,48.5,117518,96.8,58526,48.2,80678,66.5,63630,52.4,28689,23.6,39367,32.4,539810.29,4.45,z,z,z,z,z
202324,Academic year,National,E92000001,England,Final,All state-funded,Total,Total,4085,629207,28896739.68,45.9,604513,96.1,288824,45.9,408948,65,254345,40.4,113076,18,158829,25.2,2563118.14,4.07,586425,-17138.621,-0.03,-0.03,-0.03
202324,Academic year,National,E92000001,England,Final,All state-funded,Sex,Boys,3870,321951,14074750.81,43.7,306574,95.2,140435,43.6,201116,62.5,117625,36.5,47645,14.8,68465,21.3,1254530.68,3.9,299169,-43887.9,-0.15,-0.15,-0.14
202324,Academic year,National,E92000001,England,Final,All state-funded,Sex,Girls,3830,307256,14821988.87,48.2,297939,97,148389,48.3,207832,67.6,136720,44.5,65431,21.3,90364,29.4,1308587.46,4.26,287256,26749.279,0.09,0.09,0.1
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,African,2825,29471,1428037.89,48.5,28635,97.2,14869,50.5,20626,70,14109,47.9,5536,18.8,8155,27.7,127940.29,4.34,23297,9290.528,0.4,0.38,0.42
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All Asian / Asian British,3312,78997,4182730.4,52.9,77007,97.5,46638,59,59284,75,42342,53.6,21387,27.1,28073,35.5,380015.26,4.81,68150,34781.968,0.51,0.5,0.52
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All Black / African / Caribbean / Black British,3075,41517,1931451.02,46.5,40227,96.9,19201,46.2,27479,66.2,19031,45.8,6986,16.8,10498,25.3,172017.72,4.14,34232,8743.89,0.26,0.24,0.27
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All mixed / multiple ethnic groups,3677,39423,1842534.69,46.7,37784,95.8,18433,46.8,25713,65.2,17159,43.5,7956,20.2,10937,27.7,164568.73,4.17,36225,-568.745,-0.02,-0.03,0
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All other ethnic groups,2547,14224,665375.52,46.8,13513,95,6750,47.5,9170,64.5,7464,52.5,3222,22.7,4489,31.6,61455.78,4.32,10842,5754.727,0.53,0.5,0.56
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All White,4062,442310,19743462.05,44.6,424135,95.9,192653,43.6,279919,63.3,163695,37,71495,16.2,102013,23.1,1737797.17,3.93,426184,-63349.624,-0.15,-0.15,-0.14
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Any other Asian background,2536,13171,701060.67,53.2,12725,96.6,8073,61.3,10054,76.3,6746,51.2,3605,27.4,4703,35.7,63828.15,4.85,10697,6824.245,0.64,0.61,0.66
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Any other Black background,1712,5092,227663.25,44.7,4875,95.7,2133,41.9,3202,62.9,2231,43.8,767,15.1,1189,23.4,20222.99,3.97,4447,858.426,0.19,0.15,0.23
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Any other mixed / multiple ethnic background,3139,14772,717153.77,48.5,14216,96.2,7357,49.8,10020,67.8,7015,47.5,3363,22.8,4543,30.8,64715.03,4.38,13018,1543.725,0.12,0.09,0.14
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Any other White background,3479,41911,2057693.28,49.1,40685,97.1,20745,49.5,28534,68.1,22888,54.6,10787,25.7,14846,35.4,190634.49,4.55,35016,15808.654,0.45,0.44,0.47
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Bangladeshi,1553,10993,569223.75,51.8,10660,97,6358,57.8,8187,74.5,6103,55.5,2836,25.8,3858,35.1,51324.89,4.67,10295,4526.798,0.44,0.41,0.47
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Caribbean,1529,6954,275749.88,39.7,6717,96.6,2199,31.6,3651,52.5,2691,38.7,683,9.8,1154,16.6,23854.44,3.43,6488,-1405.064,-0.22,-0.25,-0.18
