time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,education_investment_area_flag,priority_area_flag,establishment_type_group,school_count,pupil_count,attainment8_sum,attainment8_average,engmath_entering_total,engmath_entering_percent,engmath_95_total,engmath_95_percent,engmath_94_total,engmath_94_percent,ebacc_entering_total,ebacc_entering_percent,ebacc_95_total,ebacc_95_percent,ebacc_94_total,ebacc_94_percent,ebacc_aps_sum,ebacc_aps_average,progress8_pupil_count,progress8_sum,progress8_average,progress8_lower_95_ci,progress8_upper_95_ci,progress8eng_sum,progress8eng_average,progress8eng_lower_95_ci,progress8eng_upper_95_ci,progress8mat_sum,progress8mat_average,progress8mat_lower_95_ci,progress8mat_upper_95_ci,progress8ebacc_sum,progress8ebacc_average,progress8ebacc_lower_95_ci,progress8ebacc_upper_95_ci,progress8open_sum,progress8open_average,progress8open_lower_95_ci,progress8open_upper_95_ci,gcse_entering_total,gcse_entering_percent,gcse_91_total,gcse_91_percent,ebacceng_entering_total,ebacceng_entering_percent,ebaccmat_entering_total,ebaccmat_entering_percent,ebaccsci_entering_total,ebaccsci_entering_percent,ebacchum_entering_total,ebacchum_entering_percent,ebacclan_entering_total,ebacclan_entering_percent,ebacceng_95_total,ebacceng_95_percent,ebaccmat_95_total,ebaccmat_95_percent,ebaccsci_95_total,ebaccsci_95_percent,ebacchum_95_total,ebacchum_95_percent,ebacclan_95_total,ebacclan_95_percent,ebacceng_94_total,ebacceng_94_percent,ebaccmat_94_total,ebaccmat_94_percent,ebaccsci_94_total,ebaccsci_94_percent,ebacchum_94_total,ebacchum_94_percent,ebacclan_94_total,ebacclan_94_percent,ebacceng_aps_sum,ebacceng_aps_average,ebaccmat_aps_sum,ebaccmat_aps_average,ebaccsci_aps_sum,ebaccsci_aps_average,ebacchum_aps_sum,ebacchum_aps_average,ebacclan_aps_sum,ebacclan_aps_average,attainment8eng_sum,attainment8eng_average,attainment8mat_sum,attainment8mat_average,attainment8ebacc_sum,attainment8ebacc_average,attainment8open_sum,attainment8open_average,attainment8open_gcse_sum,attainment8open_gcse_average,attainment8open_nongcse_sum,attainment8open_nongcse_average,attainment8ebacc_slotfill_total,attainment8ebacc_slotfill_average,attainment8open_slotfill_total,attainment8open_slotfill_average,ebacc_entering_0pillar_total,ebacc_entering_0pillar_percent,ebacc_entering_1pillar_total,ebacc_entering_1pillar_percent,ebacc_entering_2pillar_total,ebacc_entering_2pillar_percent,ebacc_entering_3pillar_total,ebacc_entering_3pillar_percent,ebacc_entering_4pillar_total,ebacc_entering_4pillar_percent,ebaccsci_combpath_entering_total,ebaccsci_combpath_entering_percent,ebaccsci_indpath_entering_total,ebaccsci_indpath_entering_percent,sci_triple_entering_total,sci_triple_entering_percent,geoghist_entering_total,geoghist_entering_percent,lan_multiple_entering_total,lan_multiple_entering_percent,art_subject_entering_total,art_subject_entering_percent,music_qual_entering_total,music_qual_entering_percent,art_qual_entering_total,art_qual_entering_percent,ebacceng_91_total,ebacceng_91_percent,ebaccmat_91_total,ebaccmat_91_percent,ebaccsci_91_total,ebaccsci_91_percent,ebacchum_91_total,ebacchum_91_percent,ebacclan_91_total,ebacclan_91_percent,ebacc_91_total,ebacc_91_percent,gcse_five_engmath_total,gcse_five_engmath_percent,progress8_pupil_percent,progress8_adjusted_total,progress8_adjusted_percent,progress8original_sum,progress8original_average,progress8original_lower_95_ci,progress8original_upper_95_ci,valueaddedsci_pupil_count,valueaddedsci_pupil_percent,valueaddedsci_sum,valueaddedsci_average,valueaddedsci_lower_95_ci,valueaddedsci_upper_95_ci,valueaddedhum_pupil_count,valueaddedhum_pupil_percent,valueaddedhum_sum,valueaddedhum_average,valueaddedhum_lower_95_ci,valueaddedhum_upper_95_ci,valueaddedlan_pupil_count,valueaddedlan_pupil_percent,valueaddedlan_sum,valueaddedlan_average,valueaddedlan_lower_95_ci,valueaddedlan_upper_95_ci,qual_entries_sum,qual_entries_average,gcse_entries_sum,gcse_entries_average,qual_entries_without_discounting_sum,qual_entries_without_discounting_average
202425,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Revised,0,0,Alternative provision,32,704,5885.25,8.4,370,52.6,16,2.3,63,8.9,1,0.1,1,0.1,1,0.1,353.39,0.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,430,61.1,422,59.9,116,16.5,399,56.7,97,13.8,12,1.7,31,4.4,21,3,48,6.8,12,12.4,3,25,19,61.3,46,6.5,97,13.8,28,28.9,6,50,23,74.2,380,0.54,973,1.38,277,0.39,39,0.06,174,0.25,1473,2.1,1946,2.8,1066.5,1.5,1399.75,2,1124.5,1.6,275.25,0.4,343,0.5,470,0.7,296,42,240,34.1,105,14.9,48,6.8,14,2,95,13.5,2,0.3,2,0.3,0,0,2,0.3,93,13.2,13,1.8,105,14.9,110,15.6,362,51.4,87,89.7,11,91.7,30,96.8,1,0.1,17,2.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1625,2.3,1530,2.2,1824,2.6
202425,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Revised,0,0,Alternative provision,42,963,5218.75,5.4,337,35,16,1.7,52,5.4,0,0,0,0,0,0,332.09,0.34,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,441,45.8,419,43.5,77,8,381,39.6,90,9.3,51,5.3,20,2.1,17,1.8,40,4.2,24,26.7,4,7.8,15,75,35,3.6,83,8.6,36,40,9,17.6,17,85,272,0.28,891,0.93,303,0.31,101,0.1,122,0.13,1225,1.3,1782,1.9,1227,1.3,984.75,1,920,1,64.75,0.1,380,0.4,324,0.3,573,59.5,245,25.4,71,7.4,64,6.6,10,1,82,8.5,8,0.8,8,0.8,3,0.3,1,0.1,95,9.9,1,0.1,90,9.3,76,7.9,346,35.9,82,91.1,44,86.3,19,95,0,0,25,2.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1429.67,1.5,1387,1.4,1671,1.7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Revised,1,1,Alternative provision,2,19,76,4,9,47.4,0,0,0,0,0,0,0,0,0,0,4.83,0.25,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,9,47.4,9,47.4,8,42.1,9,47.4,0,0,0,0,0,0,0,0,0,0,z,z,z,z,z,z,1,5.3,0,0,z,z,z,z,z,z,12,0.63,17,0.89,z,z,z,z,z,z,25,1.3,34,1.8,11,0.6,6,0.3,6,0.3,0,0,6,0.3,4,0.2,10,52.6,1,5.3,8,42.1,0,0,0,0,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,7,36.8,9,47.4,z,z,z,z,z,z,0,0,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,33,1.7,33,1.7,35,1.8
202425,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Revised,1,1,Alternative provision,3,61,768,12.6,40,65.6,0,0,4,6.6,0,0,0,0,0,0,51.51,0.84,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,42,68.9,41,67.2,29,47.5,40,65.6,34,55.7,0,0,0,0,1,1.6,1,1.6,0,0,z,z,z,z,4,6.6,6,9.8,2,5.9,z,z,z,z,80,1.31,86,1.41,71.5,1.17,z,z,z,z,182,3,172,2.8,146,2.4,268,4.4,116,1.9,152,2.5,61,1,84,1.4,21,34.4,5,8.2,7,11.5,28,45.9,0,0,34,55.7,0,0,0,0,0,0,0,0,31,50.8,0,0,27,44.3,29,47.5,37,60.7,30,88.2,z,z,z,z,0,0,3,4.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,223,3.7,172,2.8,245,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Revised,0,0,Alternative provision,2,40,320,8,31,77.5,0,0,1,2.5,0,0,0,0,0,0,9.37,0.23,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,32,80,31,77.5,3,7.5,32,80,0,0,0,0,0,0,0,0,1,2.5,z,z,z,z,z,z,1,2.5,2,5,z,z,z,z,z,z,8,0.2,48,1.2,z,z,z,z,z,z,69,1.7,96,2.4,39,1,116,2.9,41,1,75,1.9,25,0.6,45,1.1,8,20,29,72.5,3,7.5,0,0,0,0,z,z,z,z,0,0,0,0,0,0,27,67.5,0,0,23,57.5,3,7.5,27,67.5,z,z,z,z,z,z,0,0,1,2.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,137,3.4,114,2.9,149,3.7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Revised,0,0,Alternative provision,2,50,94,1.9,19,38,0,0,0,0,0,0,0,0,0,0,4.99,0.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,20,40,19,38,0,0,19,38,0,0,0,0,0,0,0,0,0,0,z,z,z,z,z,z,0,0,0,0,z,z,z,z,z,z,0,0,30,0.6,z,z,z,z,z,z,34,0.7,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,31,62,19,38,0,0,0,0,0,0,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,z,z,z,z,z,z,0,0,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,39,0.8,39,0.8,42,0.8
202425,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Revised,1,0,Alternative provision,2,27,164.75,6.1,19,70.4,0,0,0,0,0,0,0,0,0,0,12.68,0.47,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,21,77.8,20,74.1,8,29.6,19,70.4,11,40.7,0,0,0,0,0,0,0,0,0,0,z,z,z,z,2,7.4,0,0,0,0,z,z,z,z,19,0.7,25,0.93,16,0.59,z,z,z,z,59,2.2,50,1.9,32,1.2,23.75,0.9,18,0.7,5.75,0.2,14,0.5,13,0.5,8,29.6,8,29.6,3,11.1,8,29.6,0,0,11,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25.9,16,59.3,7,63.6,z,z,z,z,0,0,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,65,2.4,60,2.2,71,2.6
202425,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Revised,1,1,Alternative provision,2,35,119,3.4,17,48.6,1,2.9,2,5.7,0,0,0,0,0,0,7.82,0.22,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,19,54.3,18,51.4,0,0,17,48.6,3,8.6,0,0,0,0,0,0,1,2.9,1,33.3,z,z,z,z,0,0,2,5.7,1,33.3,z,z,z,z,0,0,28,0.8,9.5,0.27,z,z,z,z,26,0.7,56,1.6,37,1.1,0,0,0,0,0,0,19,0.5,0,0,18,51.4,14,40,3,8.6,0,0,0,0,2,5.7,1,2.9,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,12,34.3,3,100,z,z,z,z,0,0,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,54,1.5,54,1.5,55,1.6
202425,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Revised,0,0,Alternative provision,2,15,145,9.7,8,53.3,0,0,1,6.7,0,0,0,0,0,0,12.5,0.83,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8,53.3,8,53.3,3,20,8,53.3,6,40,1,6.7,0,0,1,6.7,0,0,1,16.7,1,100,z,z,2,13.3,1,6.7,1,16.7,1,100,z,z,16,1.07,18,1.2,17,1.13,7,0.47,z,z,41,2.7,36,2.4,41,2.7,27,1.8,27,1.8,0,0,13,0.9,8,0.5,7,46.7,2,13.3,3,20,2,13.3,1,6.7,6,40,0,0,0,0,0,0,0,0,1,6.7,0,0,1,6.7,3,20,8,53.3,6,100,1,100,z,z,0,0,1,6.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,31,2.1,31,2.1,41,2.7
202425,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Revised,0,0,Alternative provision,3,43,453,10.5,36,83.7,1,2.3,1,2.3,1,2.3,0,0,0,0,41.01,0.95,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,40,93,36,83.7,16,37.2,39,90.7,27,62.8,8,18.6,2,4.7,1,2.3,1,2.3,1,3.7,0,0,2,100,2,4.7,4,9.3,1,3.7,1,12.5,2,100,43,1,66,1.53,56,1.3,11,0.26,14,0.33,112,2.6,132,3.1,138,3.2,71,1.7,67,1.6,4,0.1,59,1.4,27,0.6,4,9.3,11,25.6,13,30.2,6,14,8,18.6,27,62.8,0,0,0,0,0,0,0,0,9,20.9,0,0,10,23.3,16,37.2,31,72.1,25,92.6,7,87.5,2,100,1,2.3,1,2.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,142,3.3,141,3.3,149,3.5
