"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","subject","test_year","number_entries","percentage"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Business","Penultimate year",329,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Chemistry","Total",6,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Chemistry","Total",160515,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Chemistry","Final year",5,"83.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Chemistry","Final year",159916,"99.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Chemistry","Penultimate year",1,"16.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Chemistry","Penultimate year",525,"0.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Childcare","Total",18079,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Childcare","Final year",17926,"99.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Childcare","Penultimate year",153,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Civilisation","Total",5000,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Civilisation","Final year",4898,"98"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Civilisation","Penultimate year",66,"1.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Greek","Total",851,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Greek","Final year",806,"94.7"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Greek","Penultimate year",42,"4.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Combined Science","Total",463617,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Combined Science","Final year",463340,"99.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Combined Science","Penultimate year",268,"0.1"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Computer Science","Total",9,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Computer Science","Total",88763,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Computer Science","Final year",8,"88.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Computer Science","Final year",88027,"99.2"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Computer Science","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Computer Science","Penultimate year",678,"0.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Construction","Total",9997,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Construction","Final year",9861,"98.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Construction","Penultimate year",136,"1.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Dance","Total",7139,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Dance","Total",5965,"z"
