"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","breakdown_topic","disadvantage_status","pupil_count","attainment8_average_weighted","progress8_pupil_percent","progress8_average_weighted","progress8_lower_95_ci","progress8_upper_95_ci","engmath_95_percent_weighted","ebacc_aps_average_weighted","ebacc_95_percent_weighted","ebacc_94_percent_weighted","ebacc_entering_percent_weighted"
"202425","Academic year","MAT","E92000001","England","TR00254","The Chelmsford Learning Partnership",2377,7907388,10059519,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",546,"53.1","z","z","z","z","57.9","4.92","34.6","46.7","63.6"
"202425","Academic year","MAT","E92000001","England","TR00255","Life Multiacademy Trust",16430,7992438,10059702,"East Midlands","Revised","Multi-academy trust","Total","Total",1101,"42.4","z","z","z","z","42.2","3.82","14.7","22.5","44.9"
"202425","Academic year","MAT","E92000001","England","TR00255","Life Multiacademy Trust",16430,7992438,10059702,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",215,"29","z","z","z","z","18.3","2.55","3.9","9.1","30"
"202425","Academic year","MAT","E92000001","England","TR00255","Life Multiacademy Trust",16430,7992438,10059702,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",886,"45.7","z","z","z","z","48","4.12","17.4","25.8","48.5"
"202425","Academic year","MAT","E92000001","England","TR00257","Anglian Learning",16031,7564749,10058649,"East of England","Revised","Multi-academy trust","Total","Total",1174,"50","z","z","z","z","53.2","4.54","24.3","32.4","41.6"
"202425","Academic year","MAT","E92000001","England","TR00257","Anglian Learning",16031,7564749,10058649,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",238,"35","z","z","z","z","24.4","3.09","8.4","13","24.4"
"202425","Academic year","MAT","E92000001","England","TR00257","Anglian Learning",16031,7564749,10058649,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",936,"53.8","z","z","z","z","60.5","4.91","28.3","37.3","45.9"
"202425","Academic year","MAT","E92000001","England","TR00263","Bourne Education Trust",2386,7768726,10059305,"South East","Revised","Multi-academy trust","Total","Total",1284,"46.4","z","z","z","z","44.6","4.12","17.3","23.7","36.4"
"202425","Academic year","MAT","E92000001","England","TR00263","Bourne Education Trust",2386,7768726,10059305,"South East","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",316,"34.2","z","z","z","z","18.3","2.96","5.6","11.7","25.2"
"202425","Academic year","MAT","E92000001","England","TR00263","Bourne Education Trust",2386,7768726,10059305,"South East","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",968,"50.3","z","z","z","z","53","4.49","21","27.6","40"
"202425","Academic year","MAT","E92000001","England","TR00265","South Lincolnshire Academies Trust",16247,7559187,10058617,"East Midlands","Revised","Multi-academy trust","Total","Total",779,"43.6","z","z","z","z","29.8","3.5","4.7","7.2","14.3"
"202425","Academic year","MAT","E92000001","England","TR00265","South Lincolnshire Academies Trust",16247,7559187,10058617,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",225,"37","z","z","z","z","17.9","2.99","3.4","4.8","12.7"
"202425","Academic year","MAT","E92000001","England","TR00265","South Lincolnshire Academies Trust",16247,7559187,10058617,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",554,"46.2","z","z","z","z","34.6","3.7","5.2","8.1","15"
"202425","Academic year","MAT","E92000001","England","TR00278","Bradford Diocesan Academies Trust",2408,8258994,10060130,"Yorkshire and the Humber","Revised","Multi-academy trust","Total","Total",947,"38.6","z","z","z","z","32.9","3.34","9.9","16.3","35.8"
"202425","Academic year","MAT","E92000001","England","TR00278","Bradford Diocesan Academies Trust",2408,8258994,10060130,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",357,"29.8","z","z","z","z","18.8","2.55","5.9","10.6","27.7"
"202425","Academic year","MAT","E92000001","England","TR00278","Bradford Diocesan Academies Trust",2408,8258994,10060130,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",590,"44","z","z","z","z","41.5","3.83","12.4","19.7","40.7"
"202425","Academic year","MAT","E92000001","England","TR00296","Bridgwater  Taunton College Trust",2434,8098956,10059829,"South West","Revised","Multi-academy trust","Total","Total",602,"39.2","z","z","z","z","31.1","3.36","8.5","13","41.4"
"202425","Academic year","MAT","E92000001","England","TR00296","Bridgwater  Taunton College Trust",2434,8098956,10059829,"South West","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",136,"26.3","z","z","z","z","8.1","2.26","0.7","2.2","36"
"202425","Academic year","MAT","E92000001","England","TR00296","Bridgwater  Taunton College Trust",2434,8098956,10059829,"South West","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",466,"42.9","z","z","z","z","37.8","3.69","10.7","16.1","42.9"
"202425","Academic year","MAT","E92000001","England","TR00298","Bright Futures Educational Trust",2437,7695771,10046414,"North West","Revised","Multi-academy trust","Total","Total",540,"51.2","z","z","z","z","54.1","4.92","42.6","48","67.6"
"202425","Academic year","MAT","E92000001","England","TR00298","Bright Futures Educational Trust",2437,7695771,10046414,"North West","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",209,"31","z","z","z","z","23.9","2.88","12.9","18.7","49.3"
"202425","Academic year","MAT","E92000001","England","TR00298","Bright Futures Educational Trust",2437,7695771,10046414,"North West","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",331,"64","z","z","z","z","73.1","6.21","61.3","66.5","79.2"
"202425","Academic year","MAT","E92000001","England","TR00307","Cathedral Schools Trust",16026,6516626,10058233,"South West","Revised","Multi-academy trust","Total","Total",441,"52.1","z","z","z","z","54.4","4.65","24.5","29.5","37"
"202425","Academic year","MAT","E92000001","England","TR00307","Cathedral Schools Trust",16026,6516626,10058233,"South West","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",120,"39.6","z","z","z","z","30","3.41","9.2","13.3","24.2"
"202425","Academic year","MAT","E92000001","England","TR00307","Cathedral Schools Trust",16026,6516626,10058233,"South West","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",321,"56.8","z","z","z","z","63.6","5.12","30.2","35.5","41.7"
"202425","Academic year","MAT","E92000001","England","TR00327","The Brooke Weston Trust",2471,2400784,10058154,"East Midlands","Revised","Multi-academy trust","Total","Total",1114,"41.4","z","z","z","z","35.9","3.66","13.8","23.6","40.6"
"202425","Academic year","MAT","E92000001","England","TR00327","The Brooke Weston Trust",2471,2400784,10058154,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",303,"30.8","z","z","z","z","20.5","2.61","5.6","13.2","27.1"
"202425","Academic year","MAT","E92000001","England","TR00327","The Brooke Weston Trust",2471,2400784,10058154,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",811,"45.4","z","z","z","z","41.7","4.05","16.9","27.5","45.6"
"202425","Academic year","MAT","E92000001","England","TR00353","Bmat Education",2497,7843166,10059426,"East of England","Revised","Multi-academy trust","Total","Total",892,"40.7","z","z","z","z","37.7","3.62","14","21.6","32.2"
"202425","Academic year","MAT","E92000001","England","TR00353","Bmat Education",2497,7843166,10059426,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",300,"32.6","z","z","z","z","26.8","2.83","8.5","12.3","20"
"202425","Academic year","MAT","E92000001","England","TR00353","Bmat Education",2497,7843166,10059426,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",592,"44.8","z","z","z","z","43.2","4.02","16.8","26.2","38.3"
"202425","Academic year","MAT","E92000001","England","TR00367","Cabot Learning Federation",2516,6207590,10058211,"South West","Revised","Multi-academy trust","Total","Total",1565,"43.5","z","z","z","z","38.5","3.69","9.4","14.1","24.4"
"202425","Academic year","MAT","E92000001","England","TR00367","Cabot Learning Federation",2516,6207590,10058211,"South West","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",501,"35.2","z","z","z","z","23.4","2.92","4.2","7","18.6"
"202425","Academic year","MAT","E92000001","England","TR00367","Cabot Learning Federation",2516,6207590,10058211,"South West","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",1064,"47.4","z","z","z","z","45.7","4.05","11.8","17.5","27.2"
"202425","Academic year","MAT","E92000001","England","TR00375","Meridian Trust",2526,7552498,10053421,"East of England","Revised","Multi-academy trust","Total","Total",2116,"46.9","z","z","z","z","45.2","4.11","17.4","24.5","37.4"
"202425","Academic year","MAT","E92000001","England","TR00375","Meridian Trust",2526,7552498,10053421,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",452,"36.3","z","z","z","z","22.5","3","5.5","8.9","19.6"
"202425","Academic year","MAT","E92000001","England","TR00375","Meridian Trust",2526,7552498,10053421,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",1664,"49.9","z","z","z","z","51.5","4.42","20.6","28.8","42.3"
"202425","Academic year","MAT","E92000001","England","TR00389","The Cardinal Hume Academies Trust",2543,8148675,10059941,"London","Revised","Multi-academy trust","Total","Total",504,"54.3","z","z","z","z","56.5","4.99","31.7","43.8","81.9"
"202425","Academic year","MAT","E92000001","England","TR00389","The Cardinal Hume Academies Trust",2543,8148675,10059941,"London","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",171,"47.5","z","z","z","z","41.5","4.26","19.3","31.6","74.3"
"202425","Academic year","MAT","E92000001","England","TR00389","The Cardinal Hume Academies Trust",2543,8148675,10059941,"London","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",333,"57.8","z","z","z","z","64.3","5.36","38.1","50.2","85.9"
"202425","Academic year","MAT","E92000001","England","TR00390","Bishop Wilkinson Catholic Education Trust",16035,7890590,10059486,"North East","Revised","Multi-academy trust","Total","Total",1178,"51.3","z","z","z","z","53.2","4.63","27.6","38.5","57.4"
"202425","Academic year","MAT","E92000001","England","TR00390","Bishop Wilkinson Catholic Education Trust",16035,7890590,10059486,"North East","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",227,"40.1","z","z","z","z","31.7","3.54","14.1","21.6","41"
"202425","Academic year","MAT","E92000001","England","TR00390","Bishop Wilkinson Catholic Education Trust",16035,7890590,10059486,"North East","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",951,"54","z","z","z","z","58.4","4.89","30.8","42.6","61.3"
"202425","Academic year","MAT","E92000001","England","TR00392","Bishop Hogarth Catholic Education Trust",2548,7808732,10055116,"North East","Revised","Multi-academy trust","Total","Total",1072,"45.1","z","z","z","z","41.4","3.87","15.3","22.3","37.8"
"202425","Academic year","MAT","E92000001","England","TR00392","Bishop Hogarth Catholic Education Trust",2548,7808732,10055116,"North East","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",285,"34.6","z","z","z","z","20","2.87","7.4","10.9","23.5"
"202425","Academic year","MAT","E92000001","England","TR00392","Bishop Hogarth Catholic Education Trust",2548,7808732,10055116,"North East","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",787,"48.9","z","z","z","z","49.2","4.23","18.2","26.4","42.9"
"202425","Academic year","MAT","E92000001","England","TR00407","Castle Phoenix Trust",2565,8331385,10060243,"West Midlands","Revised","Multi-academy trust","Total","Total",537,"42.6","z","z","z","z","36.9","3.55","8.2","10.4","16.9"
"202425","Academic year","MAT","E92000001","England","TR00407","Castle Phoenix Trust",2565,8331385,10060243,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",150,"34.8","z","z","z","z","26.7","2.87","3.3","4.7","12"
"202425","Academic year","MAT","E92000001","England","TR00407","Castle Phoenix Trust",2565,8331385,10060243,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",387,"45.6","z","z","z","z","40.8","3.82","10.1","12.7","18.9"
"202425","Academic year","MAT","E92000001","England","TR00409","Castle School Education Trust",2567,8397975,10060317,"South West","Revised","Multi-academy trust","Total","Total",772,"47.7","z","z","z","z","47.9","4.36","24.4","33.4","43.9"
"202425","Academic year","MAT","E92000001","England","TR00409","Castle School Education Trust",2567,8397975,10060317,"South West","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",120,"31","z","z","z","z","17.5","2.72","6.7","12.5","18.3"
"202425","Academic year","MAT","E92000001","England","TR00409","Castle School Education Trust",2567,8397975,10060317,"South West","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",652,"50.8","z","z","z","z","53.5","4.66","27.6","37.3","48.6"
"202425","Academic year","MAT","E92000001","England","TR00427","Central Learning Partnership Trust",2594,7827368,10059395,"West Midlands","Revised","Multi-academy trust","Total","Total",556,"46.1","z","z","z","z","36.5","3.31","2.2","2.9","5.6"
