"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","breakdown_topic","disadvantage_status","pupil_count","attainment8_average_weighted","progress8_pupil_percent","progress8_average_weighted","progress8_lower_95_ci","progress8_upper_95_ci","engmath_95_percent_weighted","ebacc_aps_average_weighted","ebacc_95_percent_weighted","ebacc_94_percent_weighted","ebacc_entering_percent_weighted"
"202425","Academic year","MAT","E92000001","England","TR00002","Abbey Multi Academy Trust",2046,7705552,10059141,"Yorkshire and the Humber","Revised","Multi-academy trust","Total","Total",587,"45.1","z","z","z","z","42.1","3.97","14.7","22.3","45.3"
"202425","Academic year","MAT","E92000001","England","TR00002","Abbey Multi Academy Trust",2046,7705552,10059141,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",184,"36.4","z","z","z","z","29.9","3.18","8.2","14.1","30.4"
"202425","Academic year","MAT","E92000001","England","TR00002","Abbey Multi Academy Trust",2046,7705552,10059141,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",403,"49.1","z","z","z","z","47.6","4.34","17.6","26.1","52.1"
"202425","Academic year","MAT","E92000001","England","TR00008","Lift Schools",2053,6625091,10033736,"East of England","Revised","Multi-academy trust","Total","Total",3805,"40.7","z","z","z","z","36.2","3.5","11.2","16.2","32.2"
"202425","Academic year","MAT","E92000001","England","TR00008","Lift Schools",2053,6625091,10033736,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",1422,"32.5","z","z","z","z","21.8","2.74","5.7","9.4","24.5"
"202425","Academic year","MAT","E92000001","England","TR00008","Lift Schools",2053,6625091,10033736,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",2383,"45.5","z","z","z","z","44.7","3.94","14.4","20.1","36.6"
"202425","Academic year","MAT","E92000001","England","TR00015","Academy Transformation Trust",2062,7846852,10039859,"East of England","Revised","Multi-academy trust","Total","Total",1520,"40","z","z","z","z","33.2","3.52","11.6","21.4","44.1"
"202425","Academic year","MAT","E92000001","England","TR00015","Academy Transformation Trust",2062,7846852,10039859,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",540,"32.8","z","z","z","z","21.1","2.82","7.2","13.9","31.9"
"202425","Academic year","MAT","E92000001","England","TR00015","Academy Transformation Trust",2062,7846852,10039859,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",980,"44","z","z","z","z","39.8","3.9","14.1","25.5","50.8"
"202425","Academic year","MAT","E92000001","England","TR00024","The Active Learning Trust Limited",2075,7903002,10059514,"East of England","Revised","Multi-academy trust","Total","Total",644,"36.8","z","z","z","z","29.8","3.13","5.6","9.8","25.8"
"202425","Academic year","MAT","E92000001","England","TR00024","The Active Learning Trust Limited",2075,7903002,10059514,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",230,"29.8","z","z","z","z","17.8","2.5","1.7","3.9","18.3"
"202425","Academic year","MAT","E92000001","England","TR00024","The Active Learning Trust Limited",2075,7903002,10059514,"East of England","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",414,"40.7","z","z","z","z","36.5","3.49","7.7","13","30"
"202425","Academic year","MAT","E92000001","England","TR00059","Education Partnership Trust",3016,7950891,10059591,"North West","Revised","Multi-academy trust","Total","Total",488,"44.7","z","z","z","z","38.7","3.93","13.5","21.3","43.6"
"202425","Academic year","MAT","E92000001","England","TR00059","Education Partnership Trust",3016,7950891,10059591,"North West","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",147,"37.5","z","z","z","z","27.9","3.23","7.5","13.6","32.7"
"202425","Academic year","MAT","E92000001","England","TR00059","Education Partnership Trust",3016,7950891,10059591,"North West","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",341,"47.7","z","z","z","z","43.4","4.23","16.1","24.6","48.4"
"202425","Academic year","MAT","E92000001","England","TR00078","Arden Multi Academy Trust",5671,7375267,10058364,"West Midlands","Revised","Multi-academy trust","Total","Total",854,"52.5","z","z","z","z","56.9","4.57","23.1","31.1","41.8"
"202425","Academic year","MAT","E92000001","England","TR00078","Arden Multi Academy Trust",5671,7375267,10058364,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",164,"39.4","z","z","z","z","28","3.28","12.8","19.5","26.8"
"202425","Academic year","MAT","E92000001","England","TR00078","Arden Multi Academy Trust",5671,7375267,10058364,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",690,"55.7","z","z","z","z","63.8","4.88","25.5","33.9","45.4"
"202425","Academic year","MAT","E92000001","England","TR00081","Ark Schools",2157,5112090,10044534,"London","Revised","Multi-academy trust","Total","Total",3362,"47.7","z","z","z","z","47.8","4.43","24.9","37.3","64.9"
"202425","Academic year","MAT","E92000001","England","TR00081","Ark Schools",2157,5112090,10044534,"London","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",1786,"43.3","z","z","z","z","40.1","3.97","18.3","30","59.9"
"202425","Academic year","MAT","E92000001","England","TR00081","Ark Schools",2157,5112090,10044534,"London","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",1576,"52.6","z","z","z","z","56.4","4.96","32.4","45.6","70.6"
"202425","Academic year","MAT","E92000001","England","TR00082","Consilium Academies",15728,9495671,10061209,"North East","Revised","Multi-academy trust","Total","Total",995,"39.6","z","z","z","z","33.1","3.28","5.1","7.6","12.8"
"202425","Academic year","MAT","E92000001","England","TR00082","Consilium Academies",15728,9495671,10061209,"North East","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",373,"31.4","z","z","z","z","19","2.56","1.6","2.9","7.2"
"202425","Academic year","MAT","E92000001","England","TR00082","Consilium Academies",15728,9495671,10061209,"North East","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",622,"44.6","z","z","z","z","41.5","3.72","7.2","10.5","16.1"
"202425","Academic year","MAT","E92000001","England","TR00089","The Arthur Terry Learning Partnership",2166,7730920,10034759,"West Midlands","Revised","Multi-academy trust","Total","Total",1082,"44.2","z","z","z","z","40.4","3.9","16.1","23.4","41.2"
"202425","Academic year","MAT","E92000001","England","TR00089","The Arthur Terry Learning Partnership",2166,7730920,10034759,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",352,"35.4","z","z","z","z","22.4","3.06","7.1","13.5","30.2"
"202425","Academic year","MAT","E92000001","England","TR00089","The Arthur Terry Learning Partnership",2166,7730920,10034759,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",730,"48.5","z","z","z","z","49.2","4.31","20.5","28.2","46.6"
"202425","Academic year","MAT","E92000001","England","TR00097","The Two Counties Trust",16093,7972029,10059639,"East Midlands","Revised","Multi-academy trust","Total","Total",1904,"43.7","z","z","z","z","39.9","3.81","12.1","19.7","31.4"
"202425","Academic year","MAT","E92000001","England","TR00097","The Two Counties Trust",16093,7972029,10059639,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",546,"33.1","z","z","z","z","20.5","2.82","4.8","9.2","20.1"
"202425","Academic year","MAT","E92000001","England","TR00097","The Two Counties Trust",16093,7972029,10059639,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",1358,"47.9","z","z","z","z","47.7","4.21","15","23.9","35.9"
"202425","Academic year","MAT","E92000001","England","TR00103","Aspirations Academies Trust",2186,7867577,10059468,"London","Revised","Multi-academy trust","Total","Total",973,"42.2","z","z","z","z","39.6","3.84","14.3","22.4","43"
"202425","Academic year","MAT","E92000001","England","TR00103","Aspirations Academies Trust",2186,7867577,10059468,"London","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",317,"32.3","z","z","z","z","23.3","2.87","6","11.7","27.1"
"202425","Academic year","MAT","E92000001","England","TR00103","Aspirations Academies Trust",2186,7867577,10059468,"London","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",656,"47","z","z","z","z","47.4","4.3","18.3","27.6","50.6"
"202425","Academic year","MAT","E92000001","England","TR00105","Aston Community Education Trust",2195,7577113,10058668,"Yorkshire and the Humber","Revised","Multi-academy trust","Total","Total",592,"42.1","z","z","z","z","40.7","3.71","14.7","22.1","38.2"
"202425","Academic year","MAT","E92000001","England","TR00105","Aston Community Education Trust",2195,7577113,10058668,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",162,"33.5","z","z","z","z","22.8","2.88","5.6","8.6","22.8"
"202425","Academic year","MAT","E92000001","England","TR00105","Aston Community Education Trust",2195,7577113,10058668,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",430,"45.4","z","z","z","z","47.4","4.02","18.1","27.2","44"
"202425","Academic year","MAT","E92000001","England","TR00136","Matrix Academy Trust",3878,7654219,10053216,"West Midlands","Revised","Multi-academy trust","Total","Total",824,"44","z","z","z","z","45.2","4.13","23.7","38.3","70.3"
"202425","Academic year","MAT","E92000001","England","TR00136","Matrix Academy Trust",3878,7654219,10053216,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",357,"35.2","z","z","z","z","27.6","3.19","11.5","22.3","54.4"
"202425","Academic year","MAT","E92000001","England","TR00136","Matrix Academy Trust",3878,7654219,10053216,"West Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",467,"50.6","z","z","z","z","58.5","4.84","32.8","50.3","82.2"
"202425","Academic year","MAT","E92000001","England","TR00147","Batley Multi Academy Trust",15729,7732537,10059240,"Yorkshire and the Humber","Revised","Multi-academy trust","Total","Total",535,"45.7","z","z","z","z","42.1","4.04","14.6","22.4","42.6"
"202425","Academic year","MAT","E92000001","England","TR00147","Batley Multi Academy Trust",15729,7732537,10059240,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",155,"39.9","z","z","z","z","29","3.47","10.3","17.4","36.8"
"202425","Academic year","MAT","E92000001","England","TR00147","Batley Multi Academy Trust",15729,7732537,10059240,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",380,"48.1","z","z","z","z","47.4","4.28","16.3","24.5","45"
"202425","Academic year","MAT","E92000001","England","TR00158","Lionheart Educational Trust",3760,8473899,10055191,"East Midlands","Revised","Multi-academy trust","Total","Total",1649,"48.5","z","z","z","z","48","4.53","28.1","40.6","70"
"202425","Academic year","MAT","E92000001","England","TR00158","Lionheart Educational Trust",3760,8473899,10055191,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",368,"36.9","z","z","z","z","29.6","3.37","14","22.4","52.6"
"202425","Academic year","MAT","E92000001","England","TR00158","Lionheart Educational Trust",3760,8473899,10055191,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",1281,"51.8","z","z","z","z","53.1","4.85","32.1","45.7","74.8"
"202425","Academic year","MAT","E92000001","England","TR00163","Beckfoot Trust",2270,8155088,10059960,"Yorkshire and the Humber","Revised","Multi-academy trust","Total","Total",941,"42.1","z","z","z","z","38.4","3.81","14.9","24.4","52.7"
"202425","Academic year","MAT","E92000001","England","TR00163","Beckfoot Trust",2270,8155088,10059960,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",306,"32.6","z","z","z","z","21.6","2.87","5.9","11.4","36.6"
"202425","Academic year","MAT","E92000001","England","TR00163","Beckfoot Trust",2270,8155088,10059960,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",635,"46.6","z","z","z","z","46.5","4.26","19.2","30.7","60.5"
"202425","Academic year","MAT","E92000001","England","TR00214","The Bishop Konstant Catholic Academy Trust",2332,8253770,10060123,"Yorkshire and the Humber","Revised","Multi-academy trust","Total","Total",477,"45.6","z","z","z","z","46.5","4.11","22.7","32.1","41.1"
"202425","Academic year","MAT","E92000001","England","TR00214","The Bishop Konstant Catholic Academy Trust",2332,8253770,10060123,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",108,"34.6","z","z","z","z","26.3","3.04","11.5","17.3","23"
"202425","Academic year","MAT","E92000001","England","TR00214","The Bishop Konstant Catholic Academy Trust",2332,8253770,10060123,"Yorkshire and the Humber","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",369,"48.8","z","z","z","z","52.3","4.42","26","36.4","46.3"
"202425","Academic year","MAT","E92000001","England","TR00235","St Thomas Aquinas Catholic Multi Academy Trust",2354,8090890,10059818,"East Midlands","Revised","Multi-academy trust","Total","Total",747,"54.5","z","z","z","z","59.2","4.88","26.8","34.9","43.8"
"202425","Academic year","MAT","E92000001","England","TR00235","St Thomas Aquinas Catholic Multi Academy Trust",2354,8090890,10059818,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",118,"40.3","z","z","z","z","28.8","3.47","11","16.9","29.7"
"202425","Academic year","MAT","E92000001","England","TR00235","St Thomas Aquinas Catholic Multi Academy Trust",2354,8090890,10059818,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",629,"57.2","z","z","z","z","64.9","5.15","29.7","38.3","46.4"
"202425","Academic year","MAT","E92000001","England","TR00242","Archway Learning Trust",2363,7875164,10052837,"East Midlands","Revised","Multi-academy trust","Total","Total",1250,"42","z","z","z","z","36.1","3.52","5.7","7.9","15.1"
"202425","Academic year","MAT","E92000001","England","TR00242","Archway Learning Trust",2363,7875164,10052837,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",604,"35.2","z","z","z","z","24","2.89","2.8","4.3","11"
"202425","Academic year","MAT","E92000001","England","TR00242","Archway Learning Trust",2363,7875164,10052837,"East Midlands","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",646,"48.6","z","z","z","z","47.7","4.12","8.4","11.3","19.1"
"202425","Academic year","MAT","E92000001","England","TR00246","Bohunt Education Trust",2368,7535642,10058531,"South East","Revised","Multi-academy trust","Total","Total",1953,"50.8","z","z","z","z","55.2","4.68","29.1","40.4","62.1"
"202425","Academic year","MAT","E92000001","England","TR00246","Bohunt Education Trust",2368,7535642,10058531,"South East","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",277,"36.7","z","z","z","z","30.4","3.27","12","17.4","38"
"202425","Academic year","MAT","E92000001","England","TR00246","Bohunt Education Trust",2368,7535642,10058531,"South East","Revised","Multi-academy trust","Disadvantage status","Not known to be disadvantaged",1676,"53.1","z","z","z","z","59.3","4.91","32","44.2","66.1"
"202425","Academic year","MAT","E92000001","England","TR00254","The Chelmsford Learning Partnership",2377,7907388,10059519,"East of England","Revised","Multi-academy trust","Total","Total",658,"50.3","z","z","z","z","51.4","4.63","30.9","41.5","59"
"202425","Academic year","MAT","E92000001","England","TR00254","The Chelmsford Learning Partnership",2377,7907388,10059519,"East of England","Revised","Multi-academy trust","Disadvantage status","Disadvantaged",112,"36.5","z","z","z","z","19.6","3.19","12.5","16.1","36.6"
