"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","academy_eligibility","pupil_count","disadvantaged_pupil_percent","not_disadvantaged_pupil_percent","ks2_scaledscore_average","eal_pupil_percent","sen_pupil_percent","urns","school_count","converter_school_count","sponsored_school_count","free_school_count","studio_school_count","utc_school_count","disadvantaged_school_count","years3_school_count","years4_school_count","years5plus_school_count","progress8_banding"
"202425","Academic year","MAT","E92000001","England","TR01435","Midsomer Norton Schools Partnership","3910","7365778","10031575","South West","Revised","Multi-academy trust","Included in MAT performance tables","1425","21","79","z","7","20","136311;136335;136894;136966;137202;137548;142125;146972;147801;148830","10","9","0","0","1","0","10","1","2","7","z"
"202425","Academic year","MAT","E92000001","England","TR01435","Midsomer Norton Schools Partnership","3910","7365778","10031575","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1709","21","79","z","7","20","136311;136335;136894;136966;137202;137548;142125;146972;147801;148830;150667","11","10","0","0","1","0","11","1","2","7","z"
"202425","Academic year","MAT","E92000001","England","TR01454","South Pennine Academies","3933","7599308","10058690","Yorkshire and the Humber","Revised","Multi-academy trust","Included in MAT performance tables","557","48","52","z","39","18","137500;143115;144508","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01454","South Pennine Academies","3933","7599308","10058690","Yorkshire and the Humber","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","557","48","52","z","39","18","137500;143115;144508","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01462","Bridge Academy Trust","16858","7663795","10058864","East of England","Revised","Multi-academy trust","Included in MAT performance tables","742","19","81","z","6","9","136863;137013;139248;141947","4","2","1","1","0","0","4","0","2","2","z"
"202425","Academic year","MAT","E92000001","England","TR01462","Bridge Academy Trust","16858","7663795","10058864","East of England","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","742","19","81","z","6","9","136863;137013;139248;141947","4","2","1","1","0","0","4","0","2","2","z"
"202425","Academic year","MAT","E92000001","England","TR01470","Leading Edge Academies Partnership","17055","7657923","10058841","South West","Revised","Multi-academy trust","Included in MAT performance tables","342","23","77","z","1","21","136873;140836;144638","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01470","Leading Edge Academies Partnership","17055","7657923","10058841","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","342","23","77","z","1","21","136873;140836;144638","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01509","Summit Learning Trust","4004","7348167","10058342","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","697","48","52","z","45","18","136406;142075;142388","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01509","Summit Learning Trust","4004","7348167","10058342","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","697","48","52","z","45","18","136406;142075;142388","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01513","Girls Learning Trust","15882","7627961","10058720","London","Revised","Multi-academy trust","Included in MAT performance tables","685","14","86","z","36","7","136789;136795;136797","3","3","0","0","0","0","3","0","0","3","z"
