Name,URN,Postcode,Lat,Lon,Website,Attainment 8,Progress 8,Pupil Count
Lady Lane Park School & Nursery,107458.0,BD16 4AP,53.8606612,-1.8302244,https://www.ladylaneparkschool.co.uk/,,,
Hazelbeck Special School,139977.0,BD16 1EE,53.8414013,-1.8275401,https://www.hazelbeck.org/,,,11
Brian Jackson College,132732.0,WF16 0AD,53.7087539,-1.6677654,,0.6,,26
The Springboard Project,145922.0,OL1 1AN,53.5394072,-2.1137948,https://www.springboardproject.org/,0.3,-2.87,35
North Ridge High School,132905.0,M9 0RP,53.5370683,-2.2206478,https://www.northridge.manchester.sch.uk/,,,32
Our Lady’s R.C. High School,105576.0,M9 0RP,53.5375558,-2.2205325,https://www.olhs-manchester.org.uk/,48.6,0.33,174
Dixons Trinity Academy,138251.0,BD5 0BE,53.7864138,-1.7612813,https://www.dixonsta.com/,54.7,0.72,116
Meade Hill School,151406.0,M9 6GN,53.5375059,-2.2182853,https://www.ambitioncommunity.uk/meade-hill-school/,,,
SEE Oldham,149808.0,OL1 4AW,53.5533364,-2.1034721,https://www.seeoldham.co.uk/,,,3
Oulton Academy,148527.0,LS26 8EX,53.7374681,-1.4588911,https://www.oultonacademy.org.uk/,46.9,0.43,200
Otley Prince Henry's Grammar School Specialist Language College,137704.0,LS21 2BB,53.9125704,-1.6945897,https://www.princehenrys.co.uk/,53.4,0.34,278
The Valley Leadership Academy,147018.0,OL13 0TG,53.6952726,-2.2394235,https://thevalleyleadershipacademy.com/,29.6,-1.08,118
St John Fisher Catholic Voluntary Academy,141470.0,WF13 4LL,53.6937569,-1.6457891,https://www.stjohnfisher.org.uk/,31.4,-0.99,187
Outwood Academy City Fields,136394.0,WF1 4SF,53.6883324,-1.4747896,https://www.cityfields.outwood.com/,38.6,0.08,144
Silcoates School,108303.0,WF2 0PD,53.6947387,-1.5255763,https://www.silcoates.org.uk/,36.8,,50
Ethos College,145433.0,WF13 4QS,53.6989625,-1.6566064,,,,
Heckmondwike Grammar School,136283.0,WF16 0AH,53.7077629,-1.6687608,https://www.heckgrammar.co.uk/,78.5,1.0,207
The Brooksbank School,149531.0,HX5 0QG,53.6801671,-1.8488483,https://www.thebrooksbankschool.co.uk/,47.8,0.18,272
Kettlethorpe High School,108271.0,WF2 7EL,53.6459049,-1.496804,https://kettlethorpehigh.co.uk/,46.6,-0.06,315
Westborough High School,107775.0,WF13 2JE,53.6927125,-1.6480926,https://www.w-h-s.org.uk/,42.4,0.17,187
Horbury Academy,138707.0,WF4 5HE,53.6612397,-1.5471412,https://horbury.accordmat.org/,48.9,0.32,228
Hall Cliffe School,141860.0,WF4 6BB,53.6630993,-1.5571416,https://www.witherslackgroup.co.uk/,7.1,,17
Highfield School,108311.0,WF5 9BS,53.6983951,-1.5809797,https://www.highfield-school.co.uk/,,,22
Park Aspire Alternative Provision Academy,150425.0,BD5 8DB,53.7756808,-1.7451291,https://parkaspire.co.uk/,,,
Carlton Bolling,147100.0,BD3 0DU,53.8022475,-1.7382033,https://www.carltonbolling.co.uk/,43.0,0.27,323
Bradford Academy,135367.0,BD4 7QS,53.776937,-1.7322263,https://www.bradfordacademy.co.uk/,33.1,-0.94,230
Co-op Academy Grange,147177.0,BD5 9ET,53.7754389,-1.7774531,https://grange.coopacademies.co.uk/,30.5,-1.2,274
Woodkirk Academy,137383.0,WF3 1JQ,53.7302883,-1.5849701,https://www.woodkirkacademy.co.uk/,49.8,0.15,307
Bruntcliffe Academy,142056.0,LS27 0LZ,53.743776,-1.6185399,https://www.bruntcliffe.leeds.sch.uk/,48.2,0.34,247
The Morley Academy,136392.0,LS27 0PD,53.7432148,-1.6076204,https://www.morley.leeds.sch.uk/,53.8,0.56,291
Thornhill Community Academy,146365.0,WF12 0HE,53.6608573,-1.6180731,https://www.thornhillcommunityacademy.co.uk/,45.5,0.3,177
Broomfield Specialist Inclusive Learning Centre,108123.0,LS10 3JP,53.756561,-1.5231481,https://www.broomfieldschool.org.uk/,0.2,-1.58,30
Springwell Leeds Academy,142630.0,LS10 3JA,53.7613025,-1.5253193,https://springwellacademyleeds.org/,3.8,-1.88,47
Cockburn School,142585.0,LS11 5TT,53.76083,-1.5562949,https://www.cockburnschool.org/,48.4,0.72,228
BBG Academy,138111.0,BD19 4BE,53.7448624,-1.689433,https://www.bbgacademy.com/,52.1,0.48,199
