Web Link (opens in new window),URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy Sponsor Name,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Inspection number,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Category of concern,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/150007,150007,8033440,Kings' Forest Primary School,Primary,Academy Converter,01/09/2023,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South West,South West,South Gloucestershire,Bristol North East,BS15 4PQ,17691,THE LEAF TRUST,NULL,NULL,3,442,3,11,10426111,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,15/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/140807,140807,2071100,Ormiston Latimer Academy,Alternative provision,Academy Alternative Provision Converter,01/04/2014,Not applicable,Does not have a sixth form,Does not apply,None,Non-faith,London,London,Kensington and Chelsea,Kensington and Bayswater,W10 6TT,4106,Ormiston Academies Trust,4105,Ormiston Academies Trust,4,43,11,16,10426697,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,03/02/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139967,139967,8517000,Cliffdale Primary Academy,Special,Academy Special Sponsor Led,01/12/2013,Not applicable,Does not have a sixth form,Does not apply,None,Non-faith,South East,South East,Portsmouth,Portsmouth North,PO2 0SN,4559,Solent Academies Trust,3873,Solent Academies Trust,4,219,4,11,10429715,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,26/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139643,139643,9162010,Primrose Hill Church of England Primary Academy,Primary,Academy Sponsor Led,01/10/2013,Not applicable,Does not have a sixth form,Church of England,Church of England,Christian,South West,South West,Gloucestershire,Forest of Dean,GL15 5TA,2907,The Diocese of Gloucester Academies Trust,2906,Diocese of Gloucester Academies Trust,3,210,4,11,10426056,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,10/02/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/143430,143430,8514006,UTC Portsmouth,Secondary,University Technical College,01/09/2017,Unknown,Has a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Portsmouth,Portsmouth North,PO2 9DU,NULL,NULL,NULL,NULL,3,493,14,19,10426075,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,22/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Exceptional,Not applicable,Strong standard,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/123200,123200,9313801,Checkendon Church of England (A) Primary School,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,South East,South East,Oxfordshire,Henley and Thame,RG8 0SR,NULL,NULL,NULL,NULL,1,74,4,11,10426040,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,06/02/2026,,Met,Expected standard,Expected standard,Expected standard,Needs attention,Expected standard,Needs attention,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139310,139310,8863349,Folkestone St. Mary's Church of England Primary Academy,Primary,Academy Converter,01/02/2013,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,South East,South East,Kent,Folkestone and Hythe,CT19 6QH,NULL,NULL,NULL,NULL,5,416,2,11,10426694,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Expected standard,Needs attention,Needs attention,Needs attention,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141960,141960,3412036,Dovedale Community Primary School,Primary,Community School,01/09/2015,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Liverpool,Liverpool Garston,L18 1JX,NULL,NULL,NULL,NULL,3,838,4,11,10426069,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,15/01/2026,,Met,Strong standard,Strong standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/137079,137079,9374000,George Eliot Academy,Secondary,Academy Sponsor Led,01/09/2011,Non-selective,Not applicable,None,None,Non-faith,West Midlands,West Midlands,Warwickshire,Nuneaton,CV11 4QP,5143,UNITED LEARNING TRUST,5142,United Learning Trust,4,848,11,16,10426044,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/100234,100234,2042450,Orchard Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Hackney,Hackney South and Shoreditch,E9 7BB,NULL,NULL,NULL,NULL,5,531,3,11,10426017,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,28/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/100193,100193,2034682,St Ursula's Convent School,Secondary,Voluntary Aided School,NULL,Non-selective,Does not have a sixth form,Roman Catholic,Does not apply,Christian,London,London,Greenwich,Greenwich and Woolwich,SE10 8HN,NULL,NULL,NULL,NULL,4,549,11,16,10426016,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,18/11/2025,25/01/2026,,Met,Expected standard,Expected standard,Strong standard,Expected standard,Expected standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/140018,140018,8152000,Thomas Hinderwell Primary Academy,Primary,Academy Sponsor Led,01/11/2013,Not applicable,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,North Yorkshire,Scarborough and Whitby,YO12 4HF,2854,The David Ross Education Trust,2853,The David Ross Education Trust,5,168,3,11,10427792,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,18/11/2025,15/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144628,144628,8672001,Great Hollands Primary School,Primary,Academy Sponsor Led,01/07/2017,Not applicable,Does not have a sixth form,Does not apply,Unknown,Non-faith,South East,South East,Bracknell Forest,Bracknell,RG12 8YR,15762,Maiden Erlegh Trust,3827,Maiden Erlegh Trust,3,278,3,11,10426085,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,26/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139148,139148,3524281,Chorlton High School,Secondary,Academy Converter,01/01/2013,Non-selective,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Manchester,Manchester Withington,M21 7SL,16846,PROSPERE LEARNING TRUST,2672,Prospere Learning Trust,4,1529,11,16,10426052,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/138591,138591,3352007,Goldsmith Primary Academy,Primary,Academy Sponsor Led,01/09/2012,Not applicable,Not applicable,None,None,Non-faith,West Midlands,West Midlands,Walsall,Walsall and Bloxwich,WS3 1DL,5361,Windsor Academy Trust,5360,Windsor Academy Trust,5,494,2,11,10426691,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,27/01/2026,,Met,Exceptional,Strong standard,Strong standard,Strong standard,Exceptional,Strong standard,Not applicable,Exceptional
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/135958,135958,3086906,Oasis Academy Hadley,Secondary,Academy Sponsor Led,01/09/2009,Non-selective,Has a sixth form,Does not apply,None,Non-faith,London,London,Enfield,Enfield North,EN3 4PX,4076,OASIS COMMUNITY LEARNING,4075,Oasis Community Learning,5,1511,2,18,10426043,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,28/01/2026,,Met,Strong standard,Expected standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144191,144191,8512674,Highbury Primary School,Primary,Academy Converter,01/07/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Portsmouth,Portsmouth North,PO6 2RZ,5153,University of Chichester (Multi) Academy Trust,5154,University of Chichester (Multi) Academy Trust,4,411,4,11,10426080,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144266,144266,8162012,Park Grove Primary Academy,Primary,Academy Converter,01/04/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,York,York Central,YO31 8LG,3001,EBOR ACADEMY TRUST,3000,Ebor Academy Trust,3,264,5,11,10426081,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,22/01/2026,,Met,Expected standard,Expected standard,Needs attention,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/116249,116249,8502752,Berrywood Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Hampshire,Hamble Valley,SO30 2TL,NULL,NULL,NULL,NULL,1,627,4,11,10426034,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,28/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/109626,109626,8233331,Sutton CofE VA Primary School,Primary,Voluntary Aided School,NULL,Non-selective,Does not have a sixth form,Church of England,Does not apply,Christian,East of England,East of England,Central Bedfordshire,North Bedfordshire,SG19 2NE,NULL,NULL,NULL,NULL,2,87,4,11,10426028,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141385,141385,8085951,Westlands Academy,Special,Academy Special Converter,01/09/2014,Unknown,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Middlesbrough and Thornaby East,TS17 9RA,3483,Horizons Specialist Academy Trust,16217,Horizons Specialist Academy Trust,5,83,11,16,10426063,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/119408,119408,8893183,Turton and Edgworth CofE/Methodist Controlled Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England/Methodist,Does not apply,Christian,North West,North West,Blackburn with Darwen,Rossendale and Darwen,BL7 0AH,NULL,NULL,NULL,NULL,1,185,4,11,10426036,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,27/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/138090,138090,8553343,"Saint John Fisher Catholic Voluntary Academy, Wigston, Leicestershire",Primary,Academy Converter,01/04/2012,Not applicable,Does not have a sixth form,Roman Catholic,Does not apply,Christian,East Midlands,East Midlands,Leicestershire,"Harborough, Oadby and Wigston",LE18 3QL,2354,ST THOMAS AQUINAS CATHOLIC MULTI ACADEMY TRUST,NULL,NULL,3,208,4,11,10426048,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,18/01/2026,,Met,Expected standard,Expected standard,Strong standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149371,149371,8552375,Ravenhurst Primary School,Primary,Academy Converter,01/11/2022,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East Midlands,East Midlands,Leicestershire,Mid Leicestershire,LE3 2PS,3185,"Oadby, Wigston and Leicestershire Schools Academy Trust",NULL,NULL,3,379,5,11,10426102,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,16/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/105448,105448,3522232,Rack House Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Manchester,Wythenshawe and Sale East,M23 0BT,NULL,NULL,NULL,NULL,5,449,2,11,10426023,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,26/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/150263,150263,8734016,Vista Academy Littleport,Secondary,Academy Sponsor Led,01/09/2023,Unknown,Does not have a sixth form,Does not apply,None,Non-faith,East of England,East of England,Cambridgeshire,Ely and East Cambridgeshire,CB6 1EW,16402,EASTERN LEARNING ALLIANCE,17255,Eastern Learning Alliance,2,532,11,16,10426112,Academy First Section 5,Academy First Section 5,Schools - S5,18/11/2025,02/02/2026,,Met,Expected standard,Expected standard,Needs attention,Expected standard,Expected standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/105688,105688,3533005,Woodhouses Voluntary Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England/Free Church,Does not apply,Christian,North West,North West,Oldham,Manchester Central,M35 9WL,NULL,NULL,NULL,NULL,4,134,4,11,10426025,S5 Inspection,S5 Inspection,Schools - S5,19/11/2025,29/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141865,141865,3917033,Trinity Academy Newcastle,Special,Academy Special Converter,01/03/2015,Not applicable,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne Central and West,NE4 8XJ,16041,Trinity Academy Newcastle,17276,Trinity Academy Newcastle,5,206,5,16,10430051,S8 No Formal Designation Visit,Section 8 deemed section 5 (excluding short inspections),Schools - S8 deemed S5,20/11/2025,28/01/2026,SM,Not met,Urgent improvement,Urgent improvement,Urgent improvement,Urgent improvement,Urgent improvement,Not applicable,Not applicable,Urgent improvement
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/142174,142174,8416000,Polam Hall School,Secondary,Free School,01/09/2015,Unknown,Does not have a sixth form,None,None,Non-faith,"North East, Yorkshire and the Humber",North East,Darlington,Darlington,DL1 5PA,5385,Woodard Academies Trust,5384,Woodard Academies Trust,4,841,4,16,10426072,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,18/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141308,141308,8863119,Adisham Church of England Primary School,Primary,Academy Converter,01/09/2014,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,South East,South East,Kent,Canterbury,CT3 3JW,4850,The Stour Academy Trust,5037,The Stour Academy Trust,3,102,4,11,10426062,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,27/01/2026,,Met,Exceptional,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/111282,111282,8963164,Malpas Alport Endowed Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,None,Does not apply,Non-faith,North West,North West,Cheshire West and Chester,Chester South and Eddisbury,SY14 8PY,NULL,NULL,NULL,NULL,2,277,2,11,10426680,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,25/11/2025,02/02/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/104783,104783,3422066,Eccleston Mere Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,St Helens,St Helens South and Whiston,WA10 5NX,NULL,NULL,NULL,NULL,3,403,2,11,10427855,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,01/02/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/150076,150076,8783461,St George's CofE Infant and Nursery School,Primary,Academy Converter,01/10/2023,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,South West,South West,Devon,Torridge and Tavistock,EX39 1HT,4243,THE HARBOUR SCHOOLS PARTNERSHIP,5005,Ventrus Limited,3,100,3,7,10426712,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,25/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149317,149317,8883954,"St Teresa's Catholic Primary School, Preston",Primary,Academy Converter,01/12/2022,Not applicable,Does not have a sixth form,Roman Catholic,Does not apply,Christian,North West,North West,Lancashire,Preston,PR1 4RH,17589,MATER ECCLESIAE CATHOLIC MULTI-ACADEMY TRUST,NULL,NULL,5,206,3,11,10426100,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,21/01/2026,,Met,Expected standard,Needs attention,Needs attention,Expected standard,Expected standard,Needs attention,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144581,144581,8512715,Meon Junior School,Primary,Academy Converter,01/07/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Portsmouth,Portsmouth South,PO4 8NT,5049,The Thinking Schools Academy Trust,5039,The Thinking Schools Academy Trust,3,349,7,11,10428842,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,29/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Strong standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/115859,115859,8502012,Oakridge Infant School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Hampshire,Basingstoke,RG21 5RR,NULL,NULL,NULL,NULL,3,325,2,7,10426032,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,02/02/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149642,149642,3727009,The Willows School,Special,Academy Special Converter,01/09/2023,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Rotherham,Rother Valley,S66 9NT,16125,Nexus Multi Academy Trust,16132,Nexus Multi Academy Trust,4,190,7,19,10426708,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,01/02/2026,,Met,Expected standard,Needs attention,Expected standard,Strong standard,Strong standard,Not applicable,Expected standard,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/130864,130864,3842186,South Kirkby Common Road Infant and Nursery School,Primary,Community School,01/09/1996,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Wakefield,Normanton and Hemsworth,WF9 3EA,NULL,NULL,NULL,NULL,5,202,3,7,10426041,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,02/02/2026,,Met,Strong standard,Strong standard,Strong standard,Expected standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/108167,108167,3842084,West Bretton Junior and Infant School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Wakefield,Ossett and Denby Dale,WF4 4LB,NULL,NULL,NULL,NULL,1,111,3,11,10426679,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,02/02/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Strong standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/115891,115891,8502071,Fair Oak Infant School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Hampshire,Eastleigh,SO50 7AN,NULL,NULL,NULL,NULL,1,388,4,7,10426033,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,12/02/2026,,Met,Expected standard,Expected standard,Expected standard,Strong standard,Strong standard,Strong standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/137677,137677,3201109,Hawkswood (Therapeutic),Alternative provision,Pupil Referral Unit,01/12/2011,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,London,London,Waltham Forest,Chingford and Woodford Green,E4 7RT,NULL,NULL,NULL,NULL,1,0,11,16,10426046,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,03/02/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/105986,105986,3554616,St Patrick's RC High School,Secondary,Voluntary Aided School,NULL,Non-selective,Does not have a sixth form,Roman Catholic,Does not apply,Christian,North West,North West,Salford,Worsley and Eccles,M30 7JJ,NULL,NULL,NULL,NULL,4,928,11,16,10426678,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,21/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/105491,105491,3523015,St Chrysostom's CofE Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,North West,North West,Manchester,Manchester Rusholme,M13 0DX,NULL,NULL,NULL,NULL,5,435,3,11,10429609,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,05/02/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/102472,102472,3132007,Cavendish Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Hounslow,Hammersmith and Chiswick,W4 2RG,NULL,NULL,NULL,NULL,4,179,3,11,10427499,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,26/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144929,144929,8154232,Barlby High School,Secondary,Academy Converter,01/09/2017,Non-selective,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,North Yorkshire,Selby,YO8 5JP,5632,HEARTWOOD LEARNING TRUST,16187,Hope Sentamu Learning Trust,1,480,11,16,10426088,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,25/11/2025,21/01/2026,,Met,Expected standard,Expected standard,Expected standard,Needs attention,Expected standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144798,144798,8772403,Great Sankey Primary School,Primary,Academy Converter,01/06/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Warrington,Warrington South,WA5 1SB,16682,The Challenge Academy Trust,16714,The Challenge Academy Trust,1,348,3,11,10426700,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,26/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/145387,145387,8772420,Park Road Community Primary School,Primary,Academy Converter,01/01/2018,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Warrington,Warrington South,WA5 3EF,16903,OMEGA MULTI-ACADEMY TRUST,17258,Omega Multi-Academy Trust,1,209,5,11,10426092,S5 Inspection,S5 Inspection,Schools - S5,25/11/2025,22/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/140070,140070,8303519,English Martyrs' Catholic Voluntary Academy,Primary,Academy Converter,01/09/2013,Not applicable,Does not have a sixth form,Roman Catholic,Does not apply,Christian,East Midlands,East Midlands,Derbyshire,Erewash,NG10 4DA,4442,ST RALPH SHERWIN CATHOLIC MULTI ACADEMY TRUST,16216,St Ralph Sherwin Catholic Multi Academy Trust,3,246,4,11,10430357,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,25/11/2025,15/01/2026,,Met,Strong standard,Strong standard,Expected standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149425,149425,8502065,Ashford Hill Primary School,Primary,Academy Sponsor Led,01/11/2022,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Hampshire,North West Hampshire,RG19 8BB,15858,THE THAMES LEARNING TRUST,5500,The Thames Learning Trust,1,104,4,11,10426103,Academy First Section 5,Academy First Section 5,Schools - S5,25/11/2025,21/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/109476,109476,8232118,Ridgmont Lower School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East of England,East of England,Central Bedfordshire,Mid Bedfordshire,MK43 0TS,NULL,NULL,NULL,NULL,2,9,3,9,10428203,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,25/11/2025,29/01/2026,,Met,Expected standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Not applicable,Expected standard
