Web Link (opens in new window),URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy Sponsor Name,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Inspection number,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Category of concern,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144083,144083,8452025,Ark Castledown Primary Academy,Primary,Academy Sponsor Led,01/09/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,East Sussex,Hastings and Rye,TN34 3QT,2157,ARK SCHOOLS,2156,ARK Schools,5,396,2,11,10426079,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Exceptional,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149847,149847,3332135,Moat Farm Infant School,Primary,Academy Converter,01/06/2024,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Sandwell,Smethwick,B68 9QR,16572,Stour Vale Academy Trust,16807,Stour Vale Academy Trust,5,416,2,7,10426709,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149635,149635,3364011,Smestow Academy,Secondary,Academy Converter,01/01/2023,Unknown,Has a sixth form,None,Does not apply,Non-faith,West Midlands,West Midlands,Wolverhampton,Wolverhampton West,WV3 8HU,3878,MATRIX ACADEMY TRUST,3877,Matrix Academy Trust,5,552,11,18,10426108,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Expected standard,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139160,139160,8224085,Mark Rutherford School,Secondary,Academy Converter,01/01/2013,Non-selective,Has a sixth form,None,Does not apply,Non-faith,East of England,East of England,Bedford,Bedford,MK41 8PX,NULL,NULL,NULL,NULL,3,1180,11,18,10426053,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Needs attention,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/112869,112869,8303110,St Andrew's CofE Junior School,Primary,Voluntary Controlled School,NULL,Non-selective,Does not have a sixth form,Church of England,Does not apply,Christian,East Midlands,East Midlands,Derbyshire,High Peak,SK13 2DR,NULL,NULL,NULL,NULL,4,205,7,11,10426029,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,15/01/2026,,Met,Expected standard,Needs attention,Needs attention,Expected standard,Strong standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139170,139170,9165213,St David's Church of England Primary School,Primary,Academy Converter,01/01/2013,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,South West,South West,Gloucestershire,North Cotswolds,GL56 0LQ,2907,The Diocese of Gloucester Academies Trust,2906,Diocese of Gloucester Academies Trust,2,248,4,11,10426054,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Needs attention,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/151128,151128,8552170,Badgerbrook Primary School,Primary,Academy Converter,01/09/2024,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East Midlands,East Midlands,Leicestershire,South Leicestershire,LE8 6ZW,2932,DISCOVERY SCHOOLS ACADEMIES TRUST LTD,2933,Discovery Schools Academies Trust Ltd,1,405,4,11,10426114,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,12/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Expected standard,Needs attention,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/145627,145627,3162064,Shaftesbury Primary School,Primary,Academy Converter,01/04/2018,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Newham,East Ham,E7 8PF,16534,THE BOLEYN TRUST,16535,Boleyn Trust,3,637,3,11,10426093,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Exceptional,Exceptional,Strong standard,Strong standard,Exceptional,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/138087,138087,3804041,Belle Vue Girls' Academy,Secondary,Academy Converter,01/04/2012,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford West,BD9 6NA,2408,Bradford Diocesan Academies Trust,2407,Bradford Diocesan Academies Trust,5,956,11,18,10426047,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Strong standard,Not applicable,Expected standard,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/139094,139094,3063417,Aerodrome Primary Academy,Primary,Academy Converter,01/12/2012,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Croydon,Croydon West,CR0 4EJ,4320,REAch2 Academy Trust,4318,REAch2 Academy Trust,4,466,3,11,10426693,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Expected standard,Expected standard,Expected standard,Strong standard,Expected standard,Not applicable,Expected standard
