URN,LAESTAB,School name,Type of education,School type,School open date,Sixth Form,Religious character,Religious ethos,Faith grouping,Inspectorate,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Total number of pupils,Inspection number of latest REIF standard inspection,Inspection type,Inspection type grouping,Inspection start date,Publication date,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance,Inspection number of latest OEIF standard inspection,Inspection type of latest OEIF standard inspection,Inspection type grouping of latest OEIF standard inspection,Inspection start date of latest OEIF standard inspection,Publication date of latest OEIF standard inspection,Latest OEIF overall effectiveness,Latest OEIF quality of education,Latest OEIF behaviour and attitudes,Latest OEIF personal development,Latest OEIF effectiveness of leadership and management,Latest OEIF safeguarding is effective?,Latest OEIF early years provision (where applicable),Latest OEIF sixth form provision (where applicable),Most recent standard inspection: School complies with registration agreement (GIAS)?,Most recent standard inspection: Overall compliance with ISS,Most recent standard inspection: Part 1 overall,Most recent standard inspection: Part 2 overall,Most recent standard inspection: Part 3 overall,Most recent standard inspection: Part 4 overall,Most recent standard inspection: Part 5 overall,Most recent standard inspection: Part 6 overall,Most recent standard inspection: Part 7 overall,Most recent standard inspection: Part 8 overall,Most recent progress monitoring: inspection number,Most recent progress monitoring: inspection type,Most recent progress monitoring: start date,Most recent progress monitoring: academic year,Most recent progress monitoring: publication date,Most recent progress monitoring: overall outcome,
150900,3566036,Brinksway School,Other Independent Special School,Independent special school,23/09/2024,Not recorded,None,None,Non-faith,Ofsted,North West,North West,Stockport,Stockport,SK4 2HG,21,10427411,Independent school standard inspection - first,Independent standard inspection,10/02/2026,19/04/2026,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Not applicable,Expected standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150902,8616044,The Registry,Other Independent School,Other independent school,10/05/2024,Does not have a sixth form,None,None,Non-faith,Ofsted,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,ST1 4AF,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10374919,Independent school standard inspection - first,Independent Standard Inspection,01/07/2025,11/09/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150911,8506117,Bower Lodge School,Other Independent Special School,Independent special school,30/09/2024,Not applicable,Unknown,None,Non-faith,Ofsted,South East,South East,Hampshire,New Forest East,SO45 5TD,13,10427412,Independent school standard inspection - first,Independent standard inspection,24/02/2026,20/04/2026,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150914,8916050,Bestwood Village School,Other Independent Special School,Independent special school,13/08/2024,Not applicable,Unknown,None,Non-faith,Ofsted,East Midlands,East Midlands,Nottinghamshire,Gedling,NG6 8UU,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10374838,Independent school standard inspection - first,Independent Standard Inspection,08/07/2025,15/09/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150920,8306063,Wellbrook School,Other Independent Special School,Independent special school,04/10/2024,Not applicable,Does not apply,None,Non-faith,Ofsted,East Midlands,East Midlands,Derbyshire,Derbyshire Dales,DE65 5EH,7,10427413,Independent school standard inspection - first,Independent standard inspection,24/02/2026,23/04/2026,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Not applicable,Expected standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150921,3326016,INNOV4TE Independent School,Other Independent Special School,Independent special school,05/08/2024,Not applicable,Unknown,None,Non-faith,Ofsted,West Midlands,West Midlands,Dudley,Halesowen,B63 2UX,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10374921,Independent school standard inspection - first,Independent Standard Inspection,03/06/2025,06/07/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150924,8386019,Kingfisher School,Other Independent Special School,Independent special school,28/10/2024,Not applicable,Unknown,None,Non-faith,Ofsted,South West,South West,Dorset,South Dorset,DT4 0JH,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
150927,8136018,Hera House,Other Independent Special School,Independent special school,15/07/2024,Not applicable,Unknown,None,Non-faith,Ofsted,"North East, Yorkshire and the Humber",Yorkshire and the Humber,North Lincolnshire,Brigg and Immingham,DN15 0DA,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10374870,Independent school standard inspection - first,Independent Standard Inspection,29/04/2025,09/06/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150928,8166014,Lord Gowthorpe's Independent School,Other Independent Special School,Independent special school,26/07/2024,Not applicable,Unknown,None,Non-faith,Ofsted,"North East, Yorkshire and the Humber",Yorkshire and the Humber,York,York Outer,YO19 5PA,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10374871,Independent school standard inspection - first,Independent Standard Inspection,24/06/2025,29/09/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150939,3066037,Supreme Education AP,Other Independent Special School,Independent special school,30/10/2024,Not applicable,Unknown,None,Non-faith,Ofsted,London,London,Croydon,Croydon West,CR0 2EF,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
150941,3566037,Agricultural and Rural Centre,Other Independent Special School,Independent special school,27/09/2024,Not applicable,Unknown,None,Non-faith,Ofsted,North West,North West,Stockport,Hazel Grove,SK6 4BA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
150968,3836020,Ormston School,Other Independent Special School,Independent special school,22/08/2024,Does not have a sixth form,None,None,Non-faith,Ofsted,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds Central and Headingley,LS6 2AH,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10374872,Independent school standard inspection - first,Independent Standard Inspection,01/07/2025,09/09/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
150998,8696027,Northcroft Vocational School,Other Independent Special School,Independent special school,06/11/2024,Not applicable,Unknown,None,Non-faith,Ofsted,South East,South East,West Berkshire,Newbury,RG14 1BU,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151118,3316009,Park View,Other Independent Special School,Independent special school,05/12/2024,Not applicable,Unknown,None,Non-faith,Ofsted,West Midlands,West Midlands,Coventry,Coventry South,CV3 1FP,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10416933,Independent school standard inspection - first,Independent Standard Inspection,16/09/2025,12/10/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
151119,9316032,Aurora Rowan School,Other Independent Special School,Independent special school,30/10/2024,Not applicable,None,None,Non-faith,Ofsted,South East,South East,Oxfordshire,Henley and Thame,RG4 9EY,10,10427418,Independent school standard inspection - first,Independent standard inspection,03/02/2026,18/03/2026,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
