URN,LAESTAB,School name,Type of education,School type,School open date,Sixth Form,Religious character,Religious ethos,Faith grouping,Inspectorate,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Total number of pupils,Inspection number of latest REIF standard inspection,Inspection type,Inspection type grouping,Inspection start date,Publication date,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance,Inspection number of latest OEIF standard inspection,Inspection type of latest OEIF standard inspection,Inspection type grouping of latest OEIF standard inspection,Inspection start date of latest OEIF standard inspection,Publication date of latest OEIF standard inspection,Latest OEIF overall effectiveness,Latest OEIF quality of education,Latest OEIF behaviour and attitudes,Latest OEIF personal development,Latest OEIF effectiveness of leadership and management,Latest OEIF safeguarding is effective?,Latest OEIF early years provision (where applicable),Latest OEIF sixth form provision (where applicable),Most recent standard inspection: School complies with registration agreement (GIAS)?,Most recent standard inspection: Overall compliance with ISS,Most recent standard inspection: Part 1 overall,Most recent standard inspection: Part 2 overall,Most recent standard inspection: Part 3 overall,Most recent standard inspection: Part 4 overall,Most recent standard inspection: Part 5 overall,Most recent standard inspection: Part 6 overall,Most recent standard inspection: Part 7 overall,Most recent standard inspection: Part 8 overall,Most recent progress monitoring: inspection number,Most recent progress monitoring: inspection type,Most recent progress monitoring: start date,Most recent progress monitoring: academic year,Most recent progress monitoring: publication date,Most recent progress monitoring: overall outcome,
100082,2026385,College Francais Bilingue De Londres,Other Independent School,Other independent school,18/02/1992,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Camden,Holborn and St Pancras,NW5 3AX,698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391696,Independent School standard inspection,Independent Standard Inspection,16/09/2025,25/11/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100287,2046072,Yesodey Hatorah School,Other Independent School,Independent faith school,05/03/1958,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 5AE,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10299150,Independent School standard inspection,Independent Standard Inspection,25/03/2025,19/05/2025,3,2,2,3,3,Yes,3,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100289,2046233,Talmud Torah Yetev Lev,Other Independent School,Other independent school,03/09/1959,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6AX,483,10427332,Independent School standard inspection,Independent standard inspection,27/01/2026,19/04/2026,Met,Needs attention,Urgent improvement,Needs attention,Expected standard,Urgent improvement,Urgent improvement,Not applicable,Urgent improvement,10286369,Independent School standard inspection,Independent Standard Inspection,06/02/2024,09/04/2024,4,4,2,4,4,Yes,NULL,NULL,N,Did not meet all standards,Not met,Not met,Met,Met,Met,Not met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100291,2046242,Bnois Jerusalem Girls School,Other Independent School,Independent faith school,11/05/1962,Does not have a sixth form,None,Orthodox Jewish,Jewish,Ofsted,London,London,Hackney,Tottenham,N16 5DL,615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10336092,Independent School standard inspection,Independent Standard Inspection,21/05/2024,01/07/2024,3,2,1,3,3,Yes,3,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,10425859,Independent school Progress Monitoring inspection,04/11/2025,2025/26,28/01/2026,Did not meet all standards that were checked,
100293,2046296,Beis Rochel d'Satmar Girls' School,Other Independent School,Independent faith school,03/01/1978,Has a sixth form,Orthodox Jewish,Orthodox Jewish,Jewish,Ofsted,London,London,Hackney,Tottenham,N16 5DL,1326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341979,Independent School standard inspection,Independent Standard Inspection,24/09/2024,10/11/2024,3,2,1,3,3,Yes,2,2,Y,Did not meet all standards,Not met,Not met,Not met,Met,Not met,Met,Met,Not met,10389149,Independent school Progress Monitoring inspection,26/03/2025,2024/25,20/05/2025,Did not meet all standards that were checked,
100294,2046331,Talmud Torah Machzikei Hadass School,Other Independent School,Independent faith school,22/12/1982,Does not have a sixth form,Charadi Jewish,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,E5 9SN,533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322559,Independent School standard inspection,Independent Standard Inspection,09/07/2024,10/09/2024,3,3,2,3,3,Yes,2,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100295,2046337,Beis Malka Girls' School,Other Independent School,Independent faith school,01/02/1982,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6XD,599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322560,Independent School standard inspection,Independent Standard Inspection,17/12/2024,27/02/2025,3,2,1,3,3,Yes,2,NULL,N,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100296,2046377,Talmud Torah Chaim Meirim Wiznitz School,Other Independent School,Independent faith school,24/02/1989,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6XB,241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322561,Independent School standard inspection,Independent Standard Inspection,02/07/2024,24/09/2024,3,3,2,3,3,Yes,NULL,NULL,Y,Did not meet all standards,Not met,Met,Met,Met,Met,Met,Met,Not met,10408993,Independent school Progress Monitoring inspection,10/07/2025,2024/25,11/09/2025,Did not meet all standards that were checked,
100298,2046385,Bobov Primary Boys School,Other Independent School,Independent faith school,09/07/1991,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6UE,221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10286370,Independent School standard inspection,Independent Standard Inspection,04/06/2024,09/09/2024,4,4,2,4,4,Yes,4,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,10433570,Independent school Progress Monitoring inspection,15/01/2026,2025/26,02/03/2026,Did not meet all standards that were checked,
100299,2046387,T T T Y Y School,Other Independent School,Independent faith school,30/06/1992,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 5NH,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375098,Independent School standard inspection,Independent Standard Inspection,24/06/2025,21/07/2025,4,4,2,3,4,Yes,4,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
100300,2046388,Tayyibah Girls' School,Other Independent School,Independent faith school,26/10/1992,Has a sixth form,None,Muslim,Muslim,Ofsted,London,London,Hackney,Hackney North and Stoke Newington,N16 6JJ,173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10342954,Independent School standard inspection,Independent Standard Inspection,20/05/2025,03/07/2025,2,2,1,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100371,2056359,Ecole Francaise de Londres Jacques Provert,Other Independent School,Other independent school,19/11/1986,Not applicable,None,None,Non-faith,Ofsted,London,London,Hammersmith and Fulham,Hammersmith and Chiswick,W6 7BE,262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391697,Independent School standard inspection,Independent Standard Inspection,03/06/2025,08/07/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100372,2056382,Evergreen Primary School,Other Independent School,Independent faith school,22/11/1989,Does not have a sixth form,Islam,Muslim,Muslim,Ofsted,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 4QT,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391698,Independent School standard inspection,Independent Standard Inspection,16/09/2025,19/10/2025,2,2,2,2,2,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100375,2056386,L'Ecole des Petits School,Other Independent School,Other independent school,02/10/1990,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 2NB,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322563,Independent School standard inspection,Independent Standard Inspection,25/03/2025,11/05/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100516,2076104,St Philip's School,Other Independent School,Independent faith school,22/10/1957,Does not have a sixth form,Roman Catholic,Roman Catholic,Christian,Ofsted,London,London,Kensington and Chelsea,Kensington and Bayswater,SW7 4NE,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341980,Independent School standard inspection,Independent Standard Inspection,25/03/2025,14/05/2025,2,1,1,1,2,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100518,2076188,Hill House School,Other Independent School,Other independent school,27/03/1958,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Kensington and Chelsea,Kensington and Bayswater,SW1X 0EP,465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375099,Independent School standard inspection,Independent Standard Inspection,01/07/2025,18/09/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100537,2076348,Ashbourne College,Other Independent School,Other independent school,05/03/1985,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Kensington and Chelsea,Kensington and Bayswater,W8 4PL,243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341981,Independent School standard inspection,Independent Standard Inspection,19/11/2024,30/01/2025,1,1,1,1,1,Yes,NULL,1,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100547,2076391,Lycee Francais Charles de Gaulle,Other Independent School,Other independent school,11/04/1915,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Kensington and Chelsea,Kensington and Bayswater,SW7 2DG,3450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341982,Independent School standard inspection,Independent Standard Inspection,01/10/2024,19/11/2024,2,1,2,2,2,Yes,1,2,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
100982,2116383,Madani Secondary Girls' School,Other Independent School,Independent faith school,21/11/1991,Has a sixth form,None,Muslim,Muslim,Ofsted,London,London,Tower Hamlets,Bethnal Green and Stepney,E1 1HL,260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322564,Independent School standard inspection,Independent Standard Inspection,14/01/2025,10/02/2025,2,2,1,1,2,Yes,NULL,2,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101065,2126144,Merlin School,Other Independent School,Other independent school,09/04/1958,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Wandsworth,Putney,SW15 2BZ,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322565,Independent School standard inspection,Independent Standard Inspection,25/06/2024,09/09/2024,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101090,2126396,Al Risalah Secondary School,Other Independent School,Independent faith school,11/11/1993,Does not have a sixth form,None,Muslim,Muslim,Ofsted,London,London,Wandsworth,Tooting,SW17 7TJ,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341983,Independent School standard inspection,Independent Standard Inspection,25/02/2025,29/04/2025,2,2,2,2,2,Yes,2,NULL,N,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101091,2126397,Parkgate House School,Other Independent School,Other independent school,07/11/1994,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Wandsworth,Battersea,SW4 9SD,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341984,Independent School standard inspection,Independent Standard Inspection,03/06/2025,07/09/2025,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101385,3026084,Pardes House Grammar School,Other Independent School,Independent faith school,21/05/1976,Does not have a sixth form,None,Jewish,Jewish,Ofsted,London,London,Barnet,Finchley and Golders Green,N3 1SA,285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322566,Independent School standard inspection,Independent Standard Inspection,02/07/2024,25/09/2024,3,3,2,3,3,Yes,NULL,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
101387,3026089,Menorah Grammar School,Other Independent School,Independent faith school,22/09/1978,Has a sixth form,Jewish,Jewish,Jewish,Ofsted,London,London,Barnet,Hendon,HA8 0QS,232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341985,Independent School standard inspection,Independent Standard Inspection,25/03/2025,03/07/2025,3,3,2,3,3,Yes,NULL,3,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
101388,3026092,Beth Jacob Grammar School for Girls,Other Independent School,Independent faith school,19/12/1980,Has a sixth form,None,Jewish,Jewish,Ofsted,London,London,Barnet,Hendon,NW4 2AT,337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341986,Independent School standard inspection,Independent Standard Inspection,11/02/2025,29/05/2025,3,2,1,3,3,Yes,NULL,2,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
101573,3076007,"Ysgol Gymraeg Llundain, London Welsh School",Other Independent School,Other independent school,03/10/1961,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Ealing,Ealing North,W7 1PD,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10254636,Independent School standard inspection,Independent Standard Inspection,24/01/2023,20/03/2023,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101695,3056077,Darul Uloom London School,Other Independent School,Independent faith school,20/10/1992,Has a sixth form,None,Muslim,Muslim,Ofsted,London,London,Bromley,Eltham and Chislehurst,BR7 6SD,137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10342955,Independent School standard inspection,Independent Standard Inspection,04/02/2025,29/04/2025,3,3,2,2,3,Yes,NULL,3,Y,Did not meet all standards,Not met,Met,Met,Met,Met,Met,Met,Not met,10417579,Independent school Progress Monitoring inspection,26/11/2025,2025/26,26/02/2026,Did not meet all standards that were checked,
101843,3066078,Rutherford School,Other Independent Special School,Independent special school,14/06/1971,Not applicable,None,None,Non-faith,Ofsted,London,London,Croydon,Croydon South,CR2 7HZ,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391699,Independent School standard inspection,Independent Standard Inspection,23/09/2025,13/02/2026,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101953,3076064,The Sybil Elgar School,Other Independent Special School,Independent special school,18/10/1965,Not applicable,None,None,Non-faith,Ofsted,London,London,Ealing,Ealing Southall,UB2 4NY,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322567,Independent School standard inspection,Independent Standard Inspection,08/10/2024,19/11/2024,1,1,1,1,1,Yes,NULL,1,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101958,3076070,The Japanese School,Other Independent School,Other independent school,15/11/1976,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Ealing,Ealing Central and Acton,W3 9PU,275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341987,Independent School standard inspection,Independent Standard Inspection,29/04/2025,12/06/2025,2,1,1,1,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101959,3096081,Greek Secondary School of London,Other Independent School,Other independent school,06/12/1983,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Haringey,Southgate and Wood Green,N22 8LB,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391700,Independent School standard inspection,Independent Standard Inspection,16/09/2025,20/10/2025,2,2,2,2,2,Yes,NULL,2,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
101964,3136013,The Eden School,Other Independent School,Independent faith school,26/09/1995,Has a sixth form,None,Seventh Day Adventist,Christian,Ofsted,London,London,Hounslow,Hayes and Harlington,UB7 0AQ,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341989,Independent School standard inspection,Independent Standard Inspection,25/02/2025,28/04/2025,2,2,2,2,2,Yes,2,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102171,2046399,Beis Chinuch Lebonos Girls School,Other Independent School,Independent faith school,08/08/1991,Does not have a sixth form,Orthodox Jewish,Orthodox Jewish,Jewish,Ofsted,London,London,Hackney,Tottenham,N4 2SH,790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322569,Independent School standard inspection,Independent Standard Inspection,25/03/2025,19/05/2025,3,2,2,3,3,Yes,3,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
102550,3136063,International School of London,Other Independent School,Other independent school,26/10/1987,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Hounslow,Hammersmith and Chiswick,W3 8LG,397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10286375,Independent School standard inspection,Independent Standard Inspection,22/11/2023,04/02/2024,2,2,2,2,2,Yes,2,2,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102693,3156072,Norwegian School in London,Other Independent School,Other independent school,13/09/1982,Does not have a sixth form,None,None,Non-faith,Ofsted,London,London,Merton,Wimbledon,SW20 8AH,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391701,Independent School standard inspection,Independent Standard Inspection,16/09/2025,20/10/2025,1,1,1,1,1,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102694,3156076,Blossom House School,Other Independent Special School,Independent special school,03/10/1994,Not applicable,None,None,Non-faith,Ofsted,London,London,Merton,Wimbledon,KT3 6JJ,316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10286376,Independent School standard inspection,Independent Standard Inspection,07/11/2023,20/12/2023,1,1,1,1,1,Yes,1,1,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102939,3186055,Jack and Jill School,Other Independent School,Independent faith school,03/09/1959,Does not have a sixth form,None,Christian,Christian,Ofsted,London,London,Richmond upon Thames,Twickenham,TW12 3HX,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322570,Independent School standard inspection,Independent Standard Inspection,15/10/2024,17/12/2024,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102945,3186070,The German School,Other Independent School,Other independent school,09/09/1971,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Richmond upon Thames,Richmond Park,TW10 7AH,899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10391702,Independent School standard inspection,Independent Standard Inspection,01/07/2025,07/09/2025,1,1,1,1,1,Yes,1,1,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102948,3186076,The Swedish School,Other Independent School,Other independent school,14/02/1986,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Richmond upon Thames,Richmond Park,SW13 9JS,207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10267589,Independent School standard inspection,Independent Standard Inspection,06/06/2023,10/07/2023,1,1,1,1,1,Yes,1,1,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
102950,3186078,The Harrodian School,Other Independent School,Other independent school,14/10/1993,Has a sixth form,None,None,Non-faith,Ofsted,London,London,Richmond upon Thames,Richmond Park,SW13 9QN,1044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375100,Independent School standard inspection,Independent Standard Inspection,07/05/2025,26/06/2025,2,2,1,1,2,Yes,2,1,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
103111,3096005,Hyland House School,Other Independent School,Independent faith school,03/12/1957,Does not have a sixth form,Seventh Day Adventist,Seventh Day Adventist,Christian,Ofsted,London,London,Haringey,Tottenham,N17 9AB,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10360884,Independent School standard inspection,Independent Standard Inspection,21/01/2025,11/03/2025,2,2,2,2,2,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
103588,3306080,Red Boots School (National Institute of Conductive Education),Other Independent Special School,Independent special school,26/09/1988,Not applicable,None,None,Non-faith,Ofsted,West Midlands,West Midlands,Birmingham,Birmingham Hall Green and Moseley,B13 8RD,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10267591,Independent School standard inspection,Independent Standard Inspection,13/06/2023,02/08/2023,1,1,1,1,1,Yes,1,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
103876,3326000,Elmfield Rudolf Steiner School Limited,Other Independent School,Other independent school,16/10/1957,Has a sixth form,None,None,Non-faith,Ofsted,West Midlands,West Midlands,Dudley,Stourbridge,DY8 2EA,194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10267592,Independent School standard inspection,Education and boarding aligned inspection,16/05/2023,02/07/2023,2,2,2,2,2,Yes,2,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
104128,3346009,Kingswood School,Other Independent School,Other independent school,18/02/1991,Does not have a sixth form,None,None,Non-faith,Ofsted,West Midlands,West Midlands,Solihull,Solihull West and Shirley,B90 2BA,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10341990,Independent School standard inspection,Independent Standard Inspection,28/01/2025,13/03/2025,2,2,2,2,2,Yes,2,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
104839,3426004,Progress Arc  Billinge School,Other Independent Special School,Independent special school,18/02/1983,Has a sixth form,None,None,Non-faith,Ofsted,North West,North West,St Helens,St Helens North,WN5 7TT,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375125,Independent School standard inspection,Independent Standard Inspection,13/05/2025,24/06/2025,2,2,2,2,2,Yes,NULL,2,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
105269,3506000,Lord's School,Other Independent School,Other independent school,23/10/1957,Has a sixth form,None,None,Non-faith,Ofsted,North West,North West,Bolton,Bolton South and Walkden,BL3 2EF,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10322488,Independent School standard inspection,Independent Standard Inspection,11/06/2024,05/12/2024,4,3,2,4,4,Yes,NULL,NULL,Y,Did not meet all standards,Not met,Not met,Met,Met,Met,Not met,Met,Not met,10414367,Independent school Progress Monitoring inspection,15/10/2025,2025/26,04/12/2025,Did not meet all standards that were checked,
105372,3516007,Darul Uloom Al Arabiya Al Islamiya,Other Independent School,Independent faith school,16/10/1979,Has a sixth form,Islam,Muslim,Muslim,Ofsted,North West,North West,Bury,Bury North,BL8 4NG,398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10375126,Independent School standard inspection,Independent Standard Inspection,01/07/2025,24/09/2025,2,2,2,2,2,Yes,NULL,2,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
