Name,URN,Postcode,Lat,Lon,Website,Attainment 8,Progress 8,Pupil Count,Ofsted_Overall
The Whitley AP Academy,146204,HX2 9SR,53.7560663,-1.8859147,https://twapa.co.uk/,,,,2.0
Feversham Girls' Secondary Academy,136962,BD3 0LT,53.8056783,-1.7471429,https://www.fga.iexel.org.uk/,52.4,0.68,120.0,1.0
Oastlers School,149519,BD4 7RH,53.7779598,-1.7370355,https://www.oastlers.com/,14.4,-1.0,28.0,1.0
Tong Leadership Academy,142761,BD4 6NR,53.7649195,-1.6972069,http://www.tongschool.co.uk/,35.8,-0.61,149.0,2.0
Dixons Kings Academy,137277,BD7 2AN,53.7899115,-1.7881952,https://www.dixonska.com/,53.4,0.54,169.0,1.0
Laisterdyke Leadership Academy,142681,BD3 8HE,53.7967168,-1.7151923,https://www.laisterdykeleadershipacademy.com/,35.8,-0.43,165.0,2.0
Oasis Academy Lister Park,139995,BD8 7ND,53.8154644,-1.7662401,https://www.oasisacademylisterpark.org/,32.6,-0.58,161.0,2.0
Craven Pupil Referral Service,135851,BD23 2QS,53.9476636,-2.0163528,http://www.cravenprs.org.uk,,,,2.0
Co-op Academy Priesthorpe,144588,LS28 5SG,53.8093937,-1.6878234,https://www.priesthorpe.coopacademies.co.uk/,39.3,-0.4,206.0,2.0
Bradford Forster Academy,140429,BD4 8RG,53.7799027,-1.723678,https://bradfordforsteracademy.co.uk/,37.0,-0.54,187.0,4.0
Trinity Academy Halifax,136094,HX2 9TZ,53.7539277,-1.8771492,https://halifax.trinitymat.org,43.5,0.0,318.0,1.0
Green Meadows Academy,148654,LS20 8LS,53.8743268,-1.7216074,https://greenmeadows.org.uk/,7.3,-1.37,23.0,2.0
Fairfield School,107802,WF17 8AS,53.7209958,-1.6657451,https://www.fairfieldschool.uk/,,,10.0,2.0
Bronte Girls' Secondary Academy,147067,BD4 7EB,53.7855637,-1.7455193,https://bga.iexel.org.uk/,51.2,0.21,127.0,2.0
Dixons McMillan Academy,141002,BD5 0JD,53.786417,-1.7652387,https://www.dixonsma.com/,47.8,-0.16,114.0,2.0
