URN,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Name,Lat,Lon,Website,Attainment 8,Progress 8
135935,Leeds West Academy,Secondary,Academy Sponsor Led,01/09/2009,Non-selective,Does not have a sixth form,Does not apply,,Non-faith,Leeds,Leeds West and Pudsey,5316.0,White Rose Academies Trust,3719.0,White Rose Academies Trust,LS13 1DQ,5.0,1434.0,11,16,1.0,10087557,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,14/05/2019,09/06/2019,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,2.0,Leeds West Academy,53.8147005,-1.6520781,,38.6,-0.3
136094,Trinity Academy Halifax,Secondary,Academy Sponsor Led,01/09/2010,Non-selective,Does not have a sixth form,Church of England,,Christian,Calderdale,Halifax,5689.0,Trinity Multi Academy Trust,15703.0,Trinity Multi Academy Trust,HX2 9TZ,5.0,1617.0,11,16,,10266127,S5 Inspection,S5 Inspection,Schools - S5,26/09/2023,21/11/2023,1.0,,1.0,1.0,1.0,1.0,Yes,9.0,9.0,Trinity Academy Halifax,53.7539277,-1.8771492,https://halifax.trinitymat.org,43.5,0.0
136198,Carlton Keighley,Secondary,Academy Sponsor Led,01/09/2010,Non-selective,Does not have a sixth form,Does not apply,,Non-faith,Bradford,Keighley and Ilkley,17240.0,CARLTON ACADEMY TRUST,17371.0,Carlton Academy Trust,BD20 6EB,4.0,762.0,11,16,,10121713,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,28/01/2020,26/02/2020,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,Carlton Keighley,53.8789222,-1.916129,https://carltonkeighley.org.uk/,36.3,-0.29
136604,Brighouse High School,Secondary,Academy Converter,01/04/2011,Non-selective,Has a sixth form,,Does not apply,Non-faith,Calderdale,Calder Valley,,,,,HD6 2NY,3.0,1308.0,11,18,,ITS395335,S5 Inspection,S5 Inspection,Schools - S5,16/05/2012,14/06/2012,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,Brighouse High School,53.7132381,-1.7944616,https://www.brighouse.calderdale.sch.uk/,44.7,-0.24
136736,South Craven School,Secondary,Academy Converter,01/05/2011,Non-selective,Has a sixth form,,Does not apply,Non-faith,North Yorkshire,Skipton and Ripon,,,,,BD20 7RL,1.0,1874.0,11,18,,10266126,S5 Inspection,S5 Inspection,Schools - S5,02/02/2023,20/03/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,2.0,South Craven School,53.8995585,-1.9882215,https://www.southcraven.org,46.5,0.2
136788,The North Halifax Grammar School,Secondary,Academy Converter,01/06/2011,Selective,Has a sixth form,,Does not apply,Non-faith,Calderdale,Halifax,,,,,HX2 9SU,3.0,1238.0,11,18,,10267840,S5 Inspection,S5 Inspection,Schools - S5,08/11/2023,17/12/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,1.0,The North Halifax Grammar School,53.7554809,-1.8807759,https://www.nhgs.co.uk/,68.4,0.18
136905,Ilkley Grammar School,Secondary,Academy Converter,01/07/2011,Non-selective,Has a sixth form,,Does not apply,Non-faith,Bradford,Keighley and Ilkley,17385.0,MOORLANDS LEARNING TRUST,17292.0,Moorlands Learning Trust,LS29 8TR,1.0,2134.0,11,18,,10003339,Maintained Academy and School Short inspection,Section 8 conversion,Schools � Section 8 conversion,29/03/2017,15/05/2017,1.0,,9.0,9.0,9.0,1.0,Yes,9.0,1.0,Ilkley Grammar School,53.9221081,-1.8146902,https://www.ilkleygrammarschool.com/,56.5,0.54
136962,Feversham Girls' Secondary Academy,Secondary,Academy Converter,01/08/2011,Non-selective,Has a sixth form,Muslim,Does not apply,Muslim,Bradford,Bradford East,16050.0,IEXEL EDUCATION TRUST,16195.0,iExel Education Trust,BD3 0LT,5.0,801.0,11,18,,10211903,S5 Inspection,S5 Inspection,Schools - S5,09/03/2022,05/05/2022,1.0,,1.0,1.0,1.0,1.0,Yes,9.0,1.0,Feversham Girls' Secondary Academy,53.8056783,-1.7471429,https://www.fga.iexel.org.uk/,52.4,0.68
137036,Lightcliffe Academy,Secondary,Academy Sponsor Led,01/08/2011,Non-selective,Does not have a sixth form,,,Non-faith,Calderdale,Calder Valley,2046.0,Abbey Multi Academy Trust,2043.0,Abbey Multi Academy Trust,HX3 8TL,4.0,916.0,11,16,,10210796,Schools into Special Measures Visit 5,Section 8 deemed section 5,Schools - S8 deemed S5,16/03/2022,22/05/2022,3.0,,3.0,3.0,3.0,3.0,Yes,9.0,9.0,Lightcliffe Academy,53.7217837,-1.7901928,https://www.lightcliffeacademy.co.uk/,38.7,-0.37
137277,Dixons Kings Academy,Secondary,Free School,01/09/2011,Non-selective,Does not have a sixth form,,,Non-faith,Bradford,Bradford South,2939.0,DIXONS ACADEMIES TRUST,2937.0,Dixons Academies Trust,BD7 2AN,5.0,839.0,11,16,,10023815,Requires Improvement S5 Reinspection Visit 2,Requires Improvement S5 Reinspection Visit 2,Schools - S5,26/01/2017,06/03/2017,1.0,,9.0,9.0,9.0,1.0,Yes,9.0,9.0,Dixons Kings Academy,53.7899115,-1.7881952,https://www.dixonska.com/,53.4,0.54
