URN,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Name,Lat,Lon,Website,Attainment 8,Progress 8
143114,Beckfoot Thornton,Secondary,Academy Sponsor Led,01/10/2016,Non-selective,Does not have a sixth form,Does not apply,Unknown,Non-faith,Bradford,Bradford West,2270.0,Beckfoot Trust,2271.0,Beckfoot Trust,BD13 3BH,4.0,1290.0,11,16,,10268298,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,13/09/2023,15/10/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,Beckfoot Thornton,53.7910413,-1.8196026,https://www.beckfootthornton.org/,37.3,-0.49
143533,High Park School,Special,Academy Special Sponsor Led,01/04/2017,Not applicable,Has a sixth form,Does not apply,Unknown,Non-faith,Bradford,Bradford West,17240.0,CARLTON ACADEMY TRUST,17371.0,Carlton Academy Trust,BD9 6RY,5.0,117.0,3,19,,10121660,Academy First Section 5,Academy First Section 5,Schools - S5,28/01/2020,13/02/2020,2.0,,2.0,1.0,1.0,2.0,Yes,9.0,2.0,High Park School,53.8187282,-1.8071853,https://www.highpark.org.uk/,,
144588,Co-op Academy Priesthorpe,Secondary,Academy Converter,01/07/2017,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Leeds,Leeds West and Pudsey,2777.0,THE CO-OPERATIVE ACADEMIES TRUST,4949.0,The Co-operative Academies Trust,LS28 5SG,4.0,1051.0,11,18,,10313566,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,21/02/2024,19/03/2024,2.0,,2.0,2.0,1.0,2.0,Yes,9.0,2.0,Co-op Academy Priesthorpe,53.8093937,-1.6878234,https://www.priesthorpe.coopacademies.co.uk/,39.3,-0.4
144946,Trinity Academy Grammar,Secondary,Academy Sponsor Led,01/10/2018,Non-selective,Does not have a sixth form,Does not apply,Unknown,Non-faith,Calderdale,Halifax,5689.0,Trinity Multi Academy Trust,15703.0,Trinity Multi Academy Trust,HX6 2NW,5.0,984.0,11,16,,10255561,Academy First Section 5,Academy First Section 5,Schools - S5,22/02/2023,04/05/2023,2.0,,2.0,2.0,1.0,1.0,Yes,9.0,9.0,Trinity Academy Grammar,53.7139561,-1.9086,https://grammar.trinitymat.org/,44.5,0.38
145173,Appleton Academy,Secondary,Academy Sponsor Led,01/09/2017,Unknown,Does not have a sixth form,,,Non-faith,Bradford,Bradford South,16492.0,Exceed Academies Trust,16832.0,Exceed Academies Trust,BD12 8AL,5.0,1249.0,3,16,,10200746,Academy First Section 5,Academy First Section 5,Schools - S5,03/11/2021,17/01/2022,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,Appleton Academy,53.7422339,-1.7730158,https://appletonacademy.co.uk/,34.1,-0.87
146198,Dixons Cottingley Academy,Secondary,Academy Sponsor Led,01/07/2018,Non-selective,Does not have a sixth form,,,Non-faith,Bradford,Shipley,2939.0,DIXONS ACADEMIES TRUST,2937.0,Dixons Academies Trust,BD16 1TZ,4.0,872.0,11,16,,10241407,Academy First Section 5,Academy First Section 5,Schools - S5,15/11/2022,12/01/2023,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,Dixons Cottingley Academy,53.8302533,-1.8168852,https://www.dixonsco.com/,50.1,0.65
146204,The Whitley AP Academy,PRU,Academy Alternative Provision Converter,01/08/2019,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,Calderdale,Halifax,16681.0,Impact Education Multi Academy Trust,16414.0,Impact Education Multi Academy Trust,HX2 9SR,5.0,66.0,7,16,,ITS425902,S5 Inspection,S5 Inspection,Schools - S5,17/12/2013,28/01/2014,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,The Whitley AP Academy,53.7560663,-1.8859147,https://twapa.co.uk/,,
146851,Bradford Alternative Provision Academy,PRU,Academy Alternative Provision Converter,01/03/2019,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,Bradford,Shipley,16492.0,Exceed Academies Trust,16832.0,Exceed Academies Trust,BD18 3JE,4.0,78.0,11,16,,10268153,S5 Inspection,S5 Inspection,Schools - S5,25/04/2023,14/06/2023,1.0,,1.0,1.0,1.0,1.0,Yes,9.0,9.0,Bradford Alternative Provision Academy,53.8367913,-1.7859075,https://www.bradfordapacademy.co.uk/,,
147067,Bronte Girls' Academy,Secondary,Free School,02/09/2019,Non-selective,Does not have a sixth form,,,Non-faith,Bradford,Bradford East,16050.0,IEXEL EDUCATION TRUST,16195.0,iExel Education Trust,BD4 7EB,5.0,694.0,11,16,,10297466,S5 Inspection,S5 Inspection,Schools - S5,23/01/2024,07/05/2024,2.0,,1.0,1.0,2.0,1.0,Yes,9.0,9.0,Bronte Girls' Secondary Academy,53.7855637,-1.7455193,https://bga.iexel.org.uk/,51.2,0.21
147100,Carlton Bolling,Secondary,Academy Converter,01/06/2019,Non-selective,Does not have a sixth form,Does not apply,Does not apply,Non-faith,Bradford,Bradford East,17240.0,CARLTON ACADEMY TRUST,17371.0,Carlton Academy Trust,BD3 0DU,5.0,1640.0,11,16,,10036563,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,11/10/2017,16/11/2017,1.0,,9.0,9.0,9.0,1.0,Yes,9.0,2.0,Carlton Bolling,53.8022475,-1.7382033,https://www.carltonbolling.co.uk/,43.0,0.27
147177,Co-op Academy Grange,Secondary,Academy Sponsor Led,01/06/2019,Non-selective,Does not have a sixth form,,,Non-faith,Bradford,Bradford South,2777.0,THE CO-OPERATIVE ACADEMIES TRUST,4949.0,The Co-operative Academies Trust,BD5 9ET,5.0,1450.0,11,16,2.0,10254082,Academy First Section 5,Academy First Section 5,Schools - S5,22/11/2022,01/05/2023,4.0,SWK,3.0,4.0,3.0,4.0,Yes,9.0,9.0,Co-op Academy Grange,53.7754389,-1.7774531,https://grange.coopacademies.co.uk/,30.5,-1.2
148520,"St Bede's and St Joseph's Catholic College, A Voluntary Academy",Secondary,Academy Converter,01/09/2023,Non-selective,Has a sixth form,Roman Catholic,Does not apply,Christian,Bradford,Bradford West,2353.0,Blessed Christopher Wharton Catholic Academy Trust,17599.0,Blessed Christopher Wharton Catholic Academy Trust,BD9 4BQ,4.0,1784.0,11,18,,10110594,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,26/09/2019,17/10/2019,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,2.0,St Bede's and St Joseph's Catholic College,53.8140333,-1.7858234,https://sbsj.co.uk/,45.5,-0.15
148545,Trinity Academy Bradford,Secondary,Academy Sponsor Led,01/02/2021,Non-selective,Does not have a sixth form,,,Non-faith,Bradford,Bradford South,5689.0,Trinity Multi Academy Trust,15703.0,Trinity Multi Academy Trust,BD13 2AS,4.0,885.0,11,16,,10297539,Academy First Section 5,Academy First Section 5,Schools - S5,19/03/2024,06/05/2024,2.0,,2.0,2.0,1.0,2.0,Yes,9.0,9.0,Trinity Academy Bradford,53.7645495,-1.8465963,https://bradford.trinitymat.org,43.7,-0.02
148654,Green Meadows Academy,Special,Academy Special Sponsor Led,01/05/2021,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,Leeds,Leeds North West,5252.0,WELLSPRING ACADEMY TRUST,5251.0,Wellspring Academy Trust,LS20 8LS,4.0,218.0,2,19,,10323137,Academy First Section 5,Academy First Section 5,Schools - S5,24/04/2024,12/06/2024,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,3.0,Green Meadows Academy,53.8743268,-1.7216074,https://greenmeadows.org.uk/,7.3,-1.37
149011,Hanson Academy,Secondary,Academy Sponsor Led,01/07/2022,Non-selective,Has a sixth form,,,Non-faith,Bradford,Bradford East,4474.0,DELTA ACADEMIES TRUST,4475.0,Delta Academies Trust,BD2 1JP,4.0,1552.0,11,18,3.0,10124216,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,03/03/2020,02/07/2020,4.0,SWK,3.0,4.0,3.0,4.0,Yes,9.0,3.0,Hanson Academy,53.8182846,-1.743299,https://hanson.org.uk/,35.0,-0.69
149162,"Whitcliffe Mount, A Share Academy",Secondary,Academy Converter,01/09/2022,Non-selective,Does not have a sixth form,,Does not apply,Non-faith,Kirklees,Spen Valley,5635.0,SHARE MULTI ACADEMY TRUST,5574.0,SHARE Multi Academy Trust,BD19 3AQ,3.0,1232.0,11,16,,ITS425680,S5 Inspection,S5 Inspection,Schools - S5,10/12/2013,22/01/2014,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,"Whitcliffe Mount, A Share Academy",53.7268398,-1.7299748,https://www.whitcliffemount.co.uk/,47.0,0.13
149299,"The Holy Family Catholic School, a Voluntary Academy",Secondary,Academy Sponsor Led,01/08/2022,Non-selective,Has a sixth form,Roman Catholic,Roman Catholic,Christian,Bradford,Keighley and Ilkley,2353.0,Blessed Christopher Wharton Catholic Academy Trust,17599.0,Blessed Christopher Wharton Catholic Academy Trust,BD20 6LH,5.0,773.0,11,18,1.0,10202452,S8 No Formal Designation Visit,Section 8 deemed section 5,Schools - S8 deemed S5,20/07/2021,20/10/2021,4.0,SWK,3.0,4.0,3.0,4.0,No,9.0,2.0,The Holy Family Catholic School,53.8757291,-1.9178323,https://www.holyfamilyschool.uk/,34.0,-0.59
149519,Oastlers School,Special,Academy Special Converter,01/03/2023,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,Bradford,Bradford East,16492.0,Exceed Academies Trust,16832.0,Exceed Academies Trust,BD4 7RH,5.0,133.0,11,19,,10241289,S5 Inspection,S5 Inspection,Schools - S5,25/01/2023,19/03/2023,1.0,,1.0,1.0,1.0,1.0,Yes,9.0,1.0,Oastlers School,53.7779598,-1.7370355,https://www.oastlers.com/,14.4,-1.0
150001,Parkside School,Secondary,Academy Converter,01/09/2023,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Bradford,Shipley,5252.0,WELLSPRING ACADEMY TRUST,5251.0,Wellspring Academy Trust,BD13 5AD,2.0,1144.0,11,18,,10255591,S5 Inspection,S5 Inspection,Schools - S5,20/06/2023,17/09/2023,4.0,SWK,3.0,4.0,3.0,4.0,Yes,9.0,2.0,Parkside School,53.8269641,-1.8915397,https://www.parksideschool.net/,36.9,-0.86
